Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
CP009977.1	14180	14608	1	plus	50S ribosomal protein L11			protein-coding			ALR14483.1	50S ribosomal protein L11	142	PN96_00100
CP009977.1	14613	15314	1	plus	50S ribosomal protein L1			protein-coding			ALR14484.1	50S ribosomal protein L1	233	PN96_00105
CP009977.1	15607	16101	1	plus	50S ribosomal protein L10			protein-coding			ALR14485.1	50S ribosomal protein L10	164	PN96_00110
CP009977.1	16159	16527	1	plus	50S ribosomal protein L7/L12	rplL		protein-coding			ALR14486.1	50S ribosomal protein L7/L12	122	PN96_00115
CP009977.1	16779	20807	1	plus	DNA-directed RNA polymerase subunit beta	rpoB		protein-coding			ALR14487.1	DNA-directed RNA polymerase subunit beta	1342	PN96_00120
CP009977.1	20895	25097	1	plus	DNA-directed RNA polymerase subunit beta'			protein-coding			ALR14488.1	DNA-directed RNA polymerase subunit beta'	1400	PN96_00125
CP009977.1	25244	25735	1	minus	anti-RNA polymerase sigma 70 factor			protein-coding			ALR14489.1	anti-RNA polymerase sigma 70 factor	163	PN96_00130
CP009977.1	25914	26708	1	plus	NADH pyrophosphatase			protein-coding			ALR14490.1	NADH pyrophosphatase	264	PN96_00135
CP009977.1	26960	28027	1	plus	uroporphyrinogen decarboxylase	hemE		protein-coding			ALR14491.1	uroporphyrinogen decarboxylase	355	PN96_00140
CP009977.1	28247	28819	1	minus	IclR family transcriptional regulator			protein-coding			ALR14492.1	IclR family transcriptional regulator	190	PN96_00145
CP009977.1	28827	29750	1	minus	2-ketoacid reductase			protein-coding			ALR14493.1	2-ketoacid reductase	307	PN96_00150
CP009977.1	29817	30404	1	plus	hypothetical protein			protein-coding			ALR14494.1	hypothetical protein	195	PN96_00155
CP009977.1	30478	31605	1	minus	hemolysin			protein-coding			ALR14495.1	hemolysin	375	PN96_00160
CP009977.1	31859	32131	1	plus	DNA-binding protein			protein-coding			ALR14496.1	DNA-binding protein	90	PN96_00165
CP009977.1	32171	32869	1	plus	peptidylprolyl isomerase			protein-coding			ALR14497.1	peptidylprolyl isomerase	232	PN96_00170
CP009977.1	32939	34228	1	minus	phosphoribosylamine--glycine ligase			protein-coding			ALR14498.1	phosphoribosylamine--glycine ligase	429	PN96_00175
CP009977.1	34447	36039	1	minus	phosphoribosylaminoimidazolecarboxamide formyltransferase	purH		protein-coding			ALR14499.1	phosphoribosylaminoimidazolecarboxamide formyltransferase	530	PN96_00180
CP009977.1	36073	36321	1	plus	hypothetical protein			protein-coding			ALR14500.1	hypothetical protein	82	PN96_00185
CP009977.1	36305	36703	1	plus	zinc-responsive transcriptional regulator	zntR		protein-coding			ALR14501.1	zinc-responsive transcriptional regulator	132	PN96_00190
CP009977.1	36858	38384	1	plus	XRE family transcriptional regulator			protein-coding			ALR14502.1	XRE family transcriptional regulator	508	PN96_00195
CP009977.1	38578	38871	1	plus	hypothetical protein			protein-coding			ALR14503.1	hypothetical protein	97	PN96_00200
CP009977.1	39060	40621	1	plus	16S ribosomal RNA			rRNA						PN96_00205
CP009977.1	40886	43800	1	plus	23S ribosomal RNA			rRNA						PN96_00210
CP009977.1	43875	43991	1	plus	5S ribosomal RNA			rRNA						PN96_00215
CP009977.1	44310	45871	1	plus	16S ribosomal RNA			rRNA						PN96_00220
CP009977.1	45928	46004	1	plus	tRNA-Ile			tRNA						PN96_00225
CP009977.1	46050	46125	1	plus	tRNA-Ala			tRNA						PN96_00230
CP009977.1	46380	49294	1	plus	23S ribosomal RNA			rRNA						PN96_00235
CP009977.1	49387	49503	1	plus	5S ribosomal RNA			rRNA						PN96_00240
CP009977.1	49547	49623	1	plus	tRNA-Asp			tRNA						PN96_00245
CP009977.1	49873	50343	1	plus	transposase			pseudogene						PN96_00250
CP009977.1	50357	50889	1	plus	transposase			pseudogene						PN96_00255
CP009977.1	51213	52571	1	minus	sodium:proton antiporter			protein-coding			ALR14504.1	sodium:proton antiporter	452	PN96_00260
CP009977.1	52764	56444	1	plus	methionine synthase			protein-coding			ALR14505.1	methionine synthase	1226	PN96_00265
CP009977.1	56508	57860	1	minus	aspartate kinase			protein-coding			ALR14506.1	aspartate kinase	450	PN96_00270
CP009977.1	58366	59487	1	plus	alanine--glyoxylate aminotransferase			protein-coding			ALR14507.1	alanine--glyoxylate aminotransferase	373	PN96_00275
CP009977.1	59538	61316	1	minus	ligase			protein-coding			ALR14508.1	ligase	592	PN96_00280
CP009977.1	61384	64206	1	minus	excinuclease ABC subunit A			protein-coding			ALR14509.1	excinuclease ABC subunit A	940	PN96_00285
CP009977.1	64355	65227	1	minus	UTP--glucose-1-phosphate uridylyltransferase			protein-coding			ALR14510.1	UTP--glucose-1-phosphate uridylyltransferase	290	PN96_00290
CP009977.1	65407	66051	1	minus	LuxR family transcriptional regulator			protein-coding			ALR14511.1	LuxR family transcriptional regulator	214	PN96_00295
CP009977.1	66329	66868	1	plus	single-stranded DNA-binding protein			protein-coding			ALR14512.1	single-stranded DNA-binding protein	179	PN96_00300
CP009977.1	67106	69115	1	plus	diguanylate phosphodiesterase			protein-coding			ALR14513.1	diguanylate phosphodiesterase	669	PN96_00305
CP009977.1	69127	70572	1	plus	MSHA biogenesis protein MshI			protein-coding			ALR14514.1	MSHA biogenesis protein MshI	481	PN96_00310
CP009977.1	70569	71219	1	plus	MSHA biogenesis protein MshJ			protein-coding			ALR14515.1	MSHA biogenesis protein MshJ	216	PN96_00315
CP009977.1	71212	71544	1	plus	MSHA biogenesis protein MshK			protein-coding			ALR14516.1	MSHA biogenesis protein MshK	110	PN96_00320
CP009977.1	71616	73244	1	plus	MSHA biogenesis protein MshL			protein-coding			ALR14517.1	MSHA biogenesis protein MshL	542	PN96_00325
CP009977.1	73289	74134	1	plus	MSHA biogenesis protein MshM			protein-coding			ALR14518.1	MSHA biogenesis protein MshM	281	PN96_00330
CP009977.1	74119	75231	1	plus	MSHA biogenesis protein MshN			protein-coding			ALR14519.1	MSHA biogenesis protein MshN	370	PN96_00335
CP009977.1	75228	76952	1	plus	MSHA biogenesis protein MshE			protein-coding			ALR14520.1	MSHA biogenesis protein MshE	574	PN96_00340
CP009977.1	76961	78184	1	plus	MSHA biogenesis protein MshG			protein-coding			ALR14521.1	MSHA biogenesis protein MshG	407	PN96_00345
CP009977.1	78188	78643	1	plus	MSHA biogenesis protein MshF			protein-coding			ALR14522.1	MSHA biogenesis protein MshF	151	PN96_00350
CP009977.1	78932	79414	1	plus	MSHA biogenesis protein MshA			protein-coding			ALR14523.1	MSHA biogenesis protein MshA	160	PN96_00355
CP009977.1	79483	79713	1	plus	MSHA biogenesis protein MshA			protein-coding			ALR14524.1	MSHA biogenesis protein MshA	76	PN96_00360
CP009977.1	79838	80326	1	plus	MSHA biogenesis protein MshC			protein-coding			ALR14525.1	MSHA biogenesis protein MshC	162	PN96_00365
CP009977.1	80323	80898	1	plus	MSHA biogenesis protein MshD			protein-coding			ALR14526.1	MSHA biogenesis protein MshD	191	PN96_00370
CP009977.1	80898	81635	1	plus	MSHA biogenesis protein MshO			protein-coding			ALR14527.1	MSHA biogenesis protein MshO	245	PN96_00375
CP009977.1	81625	82059	1	plus	MSHA biogenesis protein MshP			protein-coding			ALR14528.1	MSHA biogenesis protein MshP	144	PN96_00380
CP009977.1	82064	83635	1	plus	hypothetical protein			pseudogene						PN96_00385
CP009977.1	85918	86961	1	plus	rod shape-determining protein MreB			protein-coding			ALR14529.1	rod shape-determining protein MreB	347	PN96_00390
CP009977.1	87111	88010	1	plus	rod shape-determining protein MreC			protein-coding			ALR14530.1	rod shape-determining protein MreC	299	PN96_00395
CP009977.1	88000	88488	1	plus	rod shape-determining protein MreD			protein-coding			ALR14531.1	rod shape-determining protein MreD	162	PN96_00400
CP009977.1	88493	89062	1	plus	septum formation inhibitor Maf			protein-coding			ALR14532.1	septum formation inhibitor Maf	189	PN96_00405
CP009977.1	89081	90550	1	plus	ribonuclease G			protein-coding			ALR14533.1	ribonuclease G	489	PN96_00410
CP009977.1	90562	94440	1	plus	membrane protein			protein-coding			ALR14534.1	membrane protein	1292	PN96_00415
CP009977.1	94482	95303	1	plus	amidohydrolase			protein-coding			ALR14535.1	amidohydrolase	273	PN96_00420
CP009977.1	95315	96760	1	plus	protease TldD	tldD		protein-coding			ALR14536.1	protease TldD	481	PN96_00425
CP009977.1	96834	98210	1	minus	ATPase			protein-coding			ALR14537.1	ATPase	458	PN96_00430
CP009977.1	98778	101687	1	plus	ATP-dependent helicase			protein-coding			ALR14538.1	ATP-dependent helicase	969	PN96_00435
CP009977.1	101776	103041	1	minus	membrane protein			protein-coding			ALR14539.1	membrane protein	421	PN96_00440
CP009977.1	103437	104189	1	plus	ribosomal large subunit pseudouridine synthase A			protein-coding			ALR14540.1	ribosomal large subunit pseudouridine synthase A	250	PN96_00445
CP009977.1	104222	105184	1	plus	glycerate dehydrogenase			protein-coding			ALR14541.1	glycerate dehydrogenase	320	PN96_00450
CP009977.1	105251	105778	1	minus	hypothetical protein			protein-coding			ALR14542.1	hypothetical protein	175	PN96_00455
CP009977.1	105889	107232	1	plus	protein PmbA			protein-coding			ALR14543.1	protein PmbA	447	PN96_00460
CP009977.1	107311	108666	1	minus	magnesium transporter			protein-coding			ALR14544.1	magnesium transporter	451	PN96_00465
CP009977.1	108911	109186	1	minus	phosphate ABC transporter permease			protein-coding			ALR14545.1	phosphate ABC transporter permease	91	PN96_00470
CP009977.1	109189	110052	1	minus	glmZ(sRNA)-inactivating NTPase			protein-coding			ALR14546.1	glmZ(sRNA)-inactivating NTPase	287	PN96_00475
CP009977.1	110068	110514	1	minus	PTS sugar transporter			protein-coding			ALR14547.1	PTS sugar transporter	148	PN96_00480
CP009977.1	110517	110804	1	minus	ribosome hibernation promoting factor HPF			protein-coding			ALR14548.1	ribosome hibernation promoting factor HPF	95	PN96_00485
CP009977.1	110828	112300	1	minus	RNA polymerase factor sigma-54			protein-coding			ALR14549.1	RNA polymerase factor sigma-54	490	PN96_00490
CP009977.1	112351	113076	1	minus	sugar ABC transporter ATP-binding protein			protein-coding			ALR14550.1	sugar ABC transporter ATP-binding protein	241	PN96_00495
CP009977.1	113078	113572	1	minus	ABC transporter substrate-binding protein			protein-coding			ALR14551.1	ABC transporter substrate-binding protein	164	PN96_00500
CP009977.1	113553	114116	1	minus	lipopolysaccharide assembly protein			protein-coding			ALR14552.1	lipopolysaccharide assembly protein	187	PN96_00505
CP009977.1	114194	115165	1	minus	D-arabinose 5-phosphate isomerase			protein-coding			ALR14553.1	D-arabinose 5-phosphate isomerase	323	PN96_00510
CP009977.1	115205	116170	1	minus	calcium/sodium:proton antiporter			protein-coding			ALR14554.1	calcium/sodium:proton antiporter	321	PN96_00515
CP009977.1	116628	117431	1	plus	ABC transporter ATP-binding protein			protein-coding			ALR14555.1	ABC transporter ATP-binding protein	267	PN96_00520
CP009977.1	117421	118212	1	plus	ABC transporter permease			protein-coding			ALR14556.1	ABC transporter permease	263	PN96_00525
CP009977.1	118215	118703	1	plus	toluene ABC transporter substrate-binding protein			protein-coding			ALR14557.1	toluene ABC transporter substrate-binding protein	162	PN96_00530
CP009977.1	118706	119344	1	plus	toluene tolerance protein			protein-coding			ALR14558.1	toluene tolerance protein	212	PN96_00535
CP009977.1	119344	119664	1	plus	NTP-binding protein			protein-coding			ALR14559.1	NTP-binding protein	106	PN96_00540
CP009977.1	119668	119922	1	plus	BolA family transcriptional regulator			protein-coding			ALR14560.1	BolA family transcriptional regulator	84	PN96_00545
CP009977.1	119932	121197	1	plus	UDP-N-acetylglucosamine 1-carboxyvinyltransferase			protein-coding			ALR14561.1	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	421	PN96_00550
CP009977.1	121327	122052	1	plus	acyl-phosphate glycerol 3-phosphate acyltransferase			protein-coding			ALR14562.1	acyl-phosphate glycerol 3-phosphate acyltransferase	241	PN96_00555
CP009977.1	122128	122517	1	minus	endoribonuclease L-PSP			protein-coding			ALR14563.1	endoribonuclease L-PSP	129	PN96_00560
CP009977.1	122648	123109	1	minus	aspartate carbamoyltransferase regulatory subunit			protein-coding			ALR14564.1	aspartate carbamoyltransferase regulatory subunit	153	PN96_00565
CP009977.1	123125	124054	1	minus	aspartate carbamoyltransferase catalytic subunit			protein-coding			ALR14565.1	aspartate carbamoyltransferase catalytic subunit	309	PN96_00570
CP009977.1	124328	125332	1	minus	ornithine carbamoyltransferase			protein-coding			ALR14566.1	ornithine carbamoyltransferase	334	PN96_00575
CP009977.1	125483	126706	1	minus	arginine deiminase			protein-coding			ALR14567.1	arginine deiminase	407	PN96_00580
CP009977.1	127265	127681	1	plus	regulator			protein-coding			ALR14568.1	regulator	138	PN96_00585
CP009977.1	127828	128628	1	plus	beta-galactosidase			protein-coding			ALR14569.1	beta-galactosidase	266	PN96_00590
CP009977.1	128649	129143	1	minus	acetyltransferase			protein-coding			ALR14570.1	acetyltransferase	164	PN96_00595
CP009977.1	129189	129593	1	minus	membrane protein			protein-coding			ALR14571.1	membrane protein	134	PN96_00600
CP009977.1	129799	132657	1	minus	valyl-tRNA synthase			protein-coding			ALR14572.1	valyl-tRNA synthase	952	PN96_00605
CP009977.1	132817	133266	1	minus	DNA polymerase III subunit chi			protein-coding			ALR17170.1	DNA polymerase III subunit chi	149	PN96_00610
CP009977.1	133369	134877	1	minus	multifunctional aminopeptidase A			protein-coding			ALR14573.1	multifunctional aminopeptidase A	502	PN96_00615
CP009977.1	135078	136178	1	plus	lipopolysaccharide ABC transporter permease			protein-coding			ALR14574.1	lipopolysaccharide ABC transporter permease	366	PN96_00620
CP009977.1	136182	137252	1	plus	lipopolysaccharide ABC transporter permease			protein-coding			ALR14575.1	lipopolysaccharide ABC transporter permease	356	PN96_00625
CP009977.1	137285	137764	1	minus	transmembrane protein			protein-coding			ALR14576.1	transmembrane protein	159	PN96_00630
CP009977.1	137957	139225	1	minus	hypothetical protein			protein-coding			ALR14577.1	hypothetical protein	422	PN96_00635
CP009977.1	139404	140069	1	plus	short-chain dehydrogenase			protein-coding			ALR14578.1	short-chain dehydrogenase	221	PN96_00640
CP009977.1	140258	140342	1	plus	tRNA-Leu			tRNA						PN96_00645
CP009977.1	141077	142015	1	plus	bile acid:sodium symporter			protein-coding			ALR14579.1	bile acid:sodium symporter	312	PN96_00650
CP009977.1	142155	142829	1	minus	short-chain dehydrogenase			protein-coding			ALR14580.1	short-chain dehydrogenase	224	PN96_00655
CP009977.1	143131	144384	1	plus	HD family phosphohydrolase			protein-coding			ALR14581.1	HD family phosphohydrolase	417	PN96_00660
CP009977.1	144871	146432	1	plus	16S ribosomal RNA			rRNA						PN96_00665
CP009977.1	146489	146565	1	plus	tRNA-Ile			tRNA						PN96_00670
CP009977.1	146611	146686	1	plus	tRNA-Ala			tRNA						PN96_00675
CP009977.1	146943	149857	1	plus	23S ribosomal RNA			rRNA						PN96_00680
CP009977.1	149933	150048	1	plus	5S ribosomal RNA			rRNA						PN96_00685
CP009977.1	150110	150185	1	plus	tRNA-Thr			tRNA						PN96_00690
CP009977.1	150204	150320	1	plus	5S ribosomal RNA			rRNA						PN96_00695
CP009977.1	150352	150428	1	plus	tRNA-Asp			tRNA						PN96_00700
CP009977.1	151641	151716	1	minus	tRNA-Asn			tRNA						PN96_00705
CP009977.1	151752	151827	1	minus	tRNA-Thr			tRNA						PN96_00710
CP009977.1	151867	151942	1	minus	tRNA-Asn			tRNA						PN96_00715
CP009977.1	151963	152038	1	minus	tRNA-Thr			tRNA						PN96_00720
CP009977.1	152093	152168	1	minus	tRNA-Phe			tRNA						PN96_00725
CP009977.1	152402	154027	1	minus	chemotaxis protein			protein-coding			ALR14582.1	chemotaxis protein	541	PN96_00730
CP009977.1	154293	154368	1	minus	tRNA-Asn			tRNA						PN96_00735
CP009977.1	154423	154498	1	minus	tRNA-Phe			tRNA						PN96_00740
CP009977.1	154506	154581	1	minus	tRNA-Thr			tRNA						PN96_00745
CP009977.1	154651	154726	1	minus	tRNA-Asn			tRNA						PN96_00750
CP009977.1	154799	154874	1	minus	tRNA-Phe			tRNA						PN96_00755
CP009977.1	154882	154957	1	minus	tRNA-Thr			tRNA						PN96_00760
CP009977.1	155012	155087	1	minus	tRNA-Phe			tRNA						PN96_00765
CP009977.1	155188	156330	1	minus	murein transglycosylase			protein-coding			ALR14583.1	murein transglycosylase	380	PN96_00770
CP009977.1	156423	156695	1	minus	iron transporter			protein-coding			ALR14584.1	iron transporter	90	PN96_00775
CP009977.1	156715	157791	1	minus	adenine glycosylase			protein-coding			ALR14585.1	adenine glycosylase	358	PN96_00780
CP009977.1	157995	158714	1	plus	tRNA (guanine-N7)-methyltransferase	trmB		protein-coding			ALR14586.1	tRNA (guanine-N7)-methyltransferase	239	PN96_00785
CP009977.1	158726	159754	1	plus	DNA methylase			protein-coding			ALR14587.1	DNA methylase	342	PN96_00790
CP009977.1	159843	160763	1	plus	glutaminase			protein-coding			ALR14588.1	glutaminase	306	PN96_00795
CP009977.1	160842	162017	1	minus	coproporphyrinogen III oxidase			protein-coding			ALR17171.1	coproporphyrinogen III oxidase	391	PN96_00800
CP009977.1	162035	162637	1	minus	nucleoside-triphosphate diphosphatase			protein-coding			ALR14589.1	nucleoside-triphosphate diphosphatase	200	PN96_00805
CP009977.1	162771	163202	1	minus	hypothetical protein			protein-coding			ALR14590.1	hypothetical protein	143	PN96_00810
CP009977.1	163277	163567	1	minus	hypothetical protein			protein-coding			ALR14591.1	hypothetical protein	96	PN96_00815
CP009977.1	163567	164124	1	minus	membrane protein			protein-coding			ALR14592.1	membrane protein	185	PN96_00820
CP009977.1	164177	164995	1	minus	pyrroline-5-carboxylate reductase			protein-coding			ALR14593.1	pyrroline-5-carboxylate reductase	272	PN96_00825
CP009977.1	165118	165831	1	minus	hypothetical protein			protein-coding			ALR14594.1	hypothetical protein	237	PN96_00830
CP009977.1	165860	166900	1	plus	twitching motility protein PilT			protein-coding			ALR14595.1	twitching motility protein PilT	346	PN96_00835
CP009977.1	166931	168037	1	plus	twitching motility protein PilT			protein-coding			ALR14596.1	twitching motility protein PilT	368	PN96_00840
CP009977.1	168103	168528	1	minus	Holliday junction resolvase			protein-coding			ALR14597.1	Holliday junction resolvase	141	PN96_00845
CP009977.1	168570	169133	1	minus	hypothetical protein			protein-coding			ALR17172.1	hypothetical protein	187	PN96_00850
CP009977.1	169513	170463	1	minus	glutathione synthetase			protein-coding			ALR14598.1	glutathione synthetase	316	PN96_00855
CP009977.1	170478	171209	1	minus	16S rRNA methyltransferase			protein-coding			ALR14599.1	16S rRNA methyltransferase	243	PN96_00860
CP009977.1	171349	172044	1	minus	DNA-specific endonuclease I			protein-coding			ALR14600.1	DNA-specific endonuclease I	231	PN96_00865
CP009977.1	172176	172673	1	minus	sprT			protein-coding			ALR14601.1	sprT	165	PN96_00870
CP009977.1	172739	173536	1	minus	cytochrome B6			protein-coding			ALR14602.1	cytochrome B6	265	PN96_00875
CP009977.1	174012	175166	1	minus	S-adenosylmethionine synthetase			protein-coding			ALR14603.1	S-adenosylmethionine synthetase	384	PN96_00880
CP009977.1	175254	175484	1	minus	hypothetical protein			protein-coding			ALR14604.1	hypothetical protein	76	PN96_00885
CP009977.1	175483	177477	1	plus	transketolase			protein-coding			ALR14605.1	transketolase	664	PN96_00890
CP009977.1	177619	178659	1	plus	glyceraldehyde-3-phosphate dehydrogenase	gapA		protein-coding			ALR14606.1	glyceraldehyde-3-phosphate dehydrogenase	346	PN96_00895
CP009977.1	178814	179974	1	plus	phosphoglycerate kinase			protein-coding			ALR14607.1	phosphoglycerate kinase	386	PN96_00900
CP009977.1	180129	181205	1	plus	fructose-bisphosphate aldolase			protein-coding			ALR14608.1	fructose-bisphosphate aldolase	358	PN96_00905
CP009977.1	181648	182514	1	plus	mechanosensitive ion channel protein			protein-coding			ALR14609.1	mechanosensitive ion channel protein	288	PN96_00910
CP009977.1	182630	183259	1	minus	amino acid transporter			protein-coding			ALR14610.1	amino acid transporter	209	PN96_00915
CP009977.1	183392	184288	1	plus	chromosome replication initiation inhibitor protein			protein-coding			ALR14611.1	chromosome replication initiation inhibitor protein	298	PN96_00920
CP009977.1	184540	185232	1	plus	hypothetical protein			protein-coding			ALR14612.1	hypothetical protein	230	PN96_00925
CP009977.1	185299	186531	1	minus	D-3-phosphoglycerate dehydrogenase			protein-coding			ALR14613.1	D-3-phosphoglycerate dehydrogenase	410	PN96_00930
CP009977.1	186805	187461	1	minus	ribose 5-phosphate isomerase			protein-coding			ALR14614.1	ribose 5-phosphate isomerase	218	PN96_00935
CP009977.1	187520	188113	1	minus	5-formyltetrahydrofolate cyclo-ligase			protein-coding			ALR14615.1	5-formyltetrahydrofolate cyclo-ligase	197	PN96_00940
CP009977.1	188311	188619	1	minus	Z-ring-associated protein			protein-coding			ALR14616.1	Z-ring-associated protein	102	PN96_00945
CP009977.1	188868	189446	1	plus	hypothetical protein			protein-coding			ALR14617.1	hypothetical protein	192	PN96_00950
CP009977.1	189474	190652	1	plus	2-octaprenyl-6-methoxyphenyl hydroxylase			protein-coding			ALR14618.1	2-octaprenyl-6-methoxyphenyl hydroxylase	392	PN96_00955
CP009977.1	190695	191903	1	plus	oxidoreductase			protein-coding			ALR14619.1	oxidoreductase	402	PN96_00960
CP009977.1	191964	192170	1	minus	hypothetical protein			protein-coding			ALR14620.1	hypothetical protein	68	PN96_00965
CP009977.1	192804	193277	1	minus	regulatory protein			protein-coding			ALR14621.1	regulatory protein	157	PN96_00970
CP009977.1	193270	194238	1	minus	tRNA-modifying protein			protein-coding			ALR14622.1	tRNA-modifying protein	322	PN96_00975
CP009977.1	194424	194684	1	plus	hypothetical protein			protein-coding			ALR14623.1	hypothetical protein	86	PN96_00980
CP009977.1	194803	195078	1	plus	hypothetical protein			protein-coding			ALR17173.1	hypothetical protein	91	PN96_00985
CP009977.1	195107	196729	1	minus	L-aspartate oxidase			protein-coding			ALR14624.1	L-aspartate oxidase	540	PN96_00990
CP009977.1	197304	197882	1	plus	RNA polymerase sigma factor RpoE			protein-coding			ALR14625.1	RNA polymerase sigma factor RpoE	192	PN96_00995
CP009977.1	197909	198535	1	plus	anti-sigma E factor			protein-coding			ALR14626.1	anti-sigma E factor	208	PN96_01000
CP009977.1	198532	199491	1	plus	sigma-E factor regulatory protein RseB			protein-coding			ALR14627.1	sigma-E factor regulatory protein RseB	319	PN96_01005
CP009977.1	199508	199978	1	plus	sigma-E factor regulatory protein			protein-coding			ALR14628.1	sigma-E factor regulatory protein	156	PN96_01010
CP009977.1	200139	201932	1	plus	elongation factor 4			protein-coding			ALR14629.1	elongation factor 4	597	PN96_01015
CP009977.1	202037	202936	1	plus	signal peptidase			protein-coding			ALR14630.1	signal peptidase	299	PN96_01020
CP009977.1	203085	203762	1	plus	ribonuclease III	rnc		protein-coding			ALR14631.1	ribonuclease III	225	PN96_01025
CP009977.1	203755	204717	1	plus	GTPase Era			protein-coding			ALR14632.1	GTPase Era	320	PN96_01030
CP009977.1	204823	205554	1	plus	DNA repair protein RecO	recO		protein-coding			ALR14633.1	DNA repair protein RecO	243	PN96_01035
CP009977.1	205551	206282	1	plus	pyridoxine 5'-phosphate synthase			protein-coding			ALR14634.1	pyridoxine 5'-phosphate synthase	243	PN96_01040
CP009977.1	206295	206675	1	plus	ACP synthase			protein-coding			ALR14635.1	ACP synthase	126	PN96_01045
CP009977.1	206759	209557	1	minus	histidine kinase			protein-coding			ALR14636.1	histidine kinase	932	PN96_01050
CP009977.1	209750	211069	1	plus	23S rRNA methyltransferase	rumA		protein-coding			ALR14637.1	23S rRNA methyltransferase	439	PN96_01055
CP009977.1	211190	213409	1	plus	(p)ppGpp synthetase	relA		protein-coding			ALR14638.1	(p)ppGpp synthetase	739	PN96_01060
CP009977.1	213682	214473	1	plus	nucleoside triphosphate hydrolase	mazG		protein-coding			ALR14639.1	nucleoside triphosphate hydrolase	263	PN96_01065
CP009977.1	214688	216328	1	plus	CTP synthetase	pyrG		protein-coding			ALR14640.1	CTP synthetase	546	PN96_01070
CP009977.1	216410	217711	1	plus	enolase	eno		protein-coding			ALR14641.1	enolase	433	PN96_01075
CP009977.1	218170	218451	1	plus	cell division protein FtsB			protein-coding			ALR14642.1	cell division protein FtsB	93	PN96_01080
CP009977.1	218453	219160	1	plus	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase			protein-coding			ALR14643.1	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	235	PN96_01085
CP009977.1	219174	219653	1	plus	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	ispF		protein-coding			ALR14644.1	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	159	PN96_01090
CP009977.1	219696	220739	1	plus	pseudouridine synthase			protein-coding			ALR14645.1	pseudouridine synthase	347	PN96_01095
CP009977.1	220739	221515	1	plus	stationary phase survival protein SurE			protein-coding			ALR14646.1	stationary phase survival protein SurE	258	PN96_01100
CP009977.1	221515	222141	1	plus	protein-L-isoaspartate O-methyltransferase			protein-coding			ALR14647.1	protein-L-isoaspartate O-methyltransferase	208	PN96_01105
CP009977.1	222152	223078	1	plus	membrane protein			protein-coding			ALR14648.1	membrane protein	308	PN96_01110
CP009977.1	223159	224145	1	plus	RNA polymerase sigma factor RpoS			protein-coding			ALR14649.1	RNA polymerase sigma factor RpoS	328	PN96_01115
CP009977.1	224220	226781	1	minus	DNA mismatch repair protein MutS			protein-coding			ALR14650.1	DNA mismatch repair protein MutS	853	PN96_01120
