Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_CP009977.1	11232	11316	1	plus	tRNA-Tyr		70911168	tRNA						PN96_RS00070
NZ_CP009977.1	11352	11426	1	plus	tRNA-Gly		70911169	tRNA						PN96_RS00075
NZ_CP009977.1	11440	11515	1	plus	tRNA-Thr		70911170	tRNA						PN96_RS00080
NZ_CP009977.1	11619	12803	1	plus	elongation factor Tu	tuf	70911171	protein-coding			WP_014233170.1	elongation factor Tu	394	PN96_RS00085
NZ_CP009977.1	13072	13452	1	plus	preprotein translocase subunit SecE	secE	70911172	protein-coding			WP_020334711.1	preprotein translocase subunit SecE	126	PN96_RS00090
NZ_CP009977.1	13466	14014	1	plus	transcription termination/antitermination protein NusG	nusG	70911173	protein-coding			WP_005384681.1	transcription termination/antitermination protein NusG	182	PN96_RS00095
NZ_CP009977.1	14180	14608	1	plus	50S ribosomal protein L11	rplK	70911174	protein-coding			WP_008078231.1	50S ribosomal protein L11	142	PN96_RS00100
NZ_CP009977.1	14613	15314	1	plus	50S ribosomal protein L1	rplA	70911175	protein-coding			WP_014233286.1	50S ribosomal protein L1	233	PN96_RS00105
NZ_CP009977.1	15607	16101	1	plus	50S ribosomal protein L10	rplJ	70911176	protein-coding			WP_020334710.1	50S ribosomal protein L10	164	PN96_RS00110
NZ_CP009977.1	16159	16527	1	plus	50S ribosomal protein L7/L12	rplL	70911177	protein-coding			WP_014233284.1	50S ribosomal protein L7/L12	122	PN96_RS00115
NZ_CP009977.1	16779	20807	1	plus	DNA-directed RNA polymerase subunit beta	rpoB	70911178	protein-coding			WP_020334708.1	DNA-directed RNA polymerase subunit beta	1342	PN96_RS00120
NZ_CP009977.1	20895	25097	1	plus	DNA-directed RNA polymerase subunit beta'	rpoC	70911179	protein-coding			WP_014233282.1	DNA-directed RNA polymerase subunit beta'	1400	PN96_RS00125
NZ_CP009977.1	25244	25735	1	minus	Rsd/AlgQ family anti-sigma factor		70911180	protein-coding			WP_020334706.1	Rsd/AlgQ family anti-sigma factor	163	PN96_RS00130
NZ_CP009977.1	25914	26708	1	plus	NAD(+) diphosphatase	nudC	70911181	protein-coding			WP_020334705.1	NAD(+) diphosphatase	264	PN96_RS00135
NZ_CP009977.1	26960	28027	1	plus	uroporphyrinogen decarboxylase	hemE	70911182	protein-coding			WP_020334704.1	uroporphyrinogen decarboxylase	355	PN96_RS00140
NZ_CP009977.1	28247	28819	1	minus	uracil-DNA glycosylase family protein		70911183	protein-coding			WP_020334703.1	uracil-DNA glycosylase family protein	190	PN96_RS00145
NZ_CP009977.1	28827	29750	1	minus	D-2-hydroxyacid dehydrogenase		70911184	protein-coding			WP_020334702.1	D-2-hydroxyacid dehydrogenase	307	PN96_RS00150
NZ_CP009977.1	29817	30404	1	plus	DUF416 family protein		70911185	protein-coding			WP_014233276.1	DUF416 family protein	195	PN96_RS00155
NZ_CP009977.1	30478	31605	1	minus	hemolysin family protein		70911186	protein-coding			WP_020334701.1	hemolysin family protein	375	PN96_RS00160
NZ_CP009977.1	31859	32131	1	plus	nucleoid-associated protein HU-alpha	hupA	70911187	protein-coding			WP_005433627.1	nucleoid-associated protein HU-alpha	90	PN96_RS00165
NZ_CP009977.1	32171	32869	1	plus	DUF1481 domain-containing protein		70911188	protein-coding			WP_020334700.1	DUF1481 domain-containing protein	232	PN96_RS00170
NZ_CP009977.1	32939	34228	1	minus	phosphoribosylamine--glycine ligase	purD	70911189	protein-coding			WP_014233273.1	phosphoribosylamine--glycine ligase	429	PN96_RS00175
NZ_CP009977.1	34447	36039	1	minus	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	purH	70911190	protein-coding			WP_020334699.1	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	530	PN96_RS00180
NZ_CP009977.1	36305	36703	1	plus	Zn(2+)-responsive transcriptional regulator	zntR	70911191	protein-coding			WP_014233270.1	Zn(2+)-responsive transcriptional regulator	132	PN96_RS00190
NZ_CP009977.1	36858	38384	1	plus	lysine decarboxylation/transport transcriptional activator CadC	cadC	70911192	protein-coding			WP_020334697.1	lysine decarboxylation/transport transcriptional activator CadC	508	PN96_RS00195
NZ_CP009977.1	39060	40612	1	plus	16S ribosomal RNA		70911193	rRNA						PN96_RS00205
NZ_CP009977.1	40893	43782	1	plus	23S ribosomal RNA		70911194	rRNA						PN96_RS00210
NZ_CP009977.1	43875	43991	1	plus	5S ribosomal RNA	rrf	70911195	rRNA						PN96_RS00215
NZ_CP009977.1	44310	45862	1	plus	16S ribosomal RNA		70911196	rRNA						PN96_RS00220
NZ_CP009977.1	45928	46004	1	plus	tRNA-Ile		70911197	tRNA						PN96_RS00225
NZ_CP009977.1	46050	46125	1	plus	tRNA-Ala		70911198	tRNA						PN96_RS00230
NZ_CP009977.1	46387	49276	1	plus	23S ribosomal RNA		70911199	rRNA						PN96_RS00235
NZ_CP009977.1	49387	49503	1	plus	5S ribosomal RNA	rrf	70911200	rRNA						PN96_RS00240
NZ_CP009977.1	49547	49623	1	plus	tRNA-Asp		70911201	tRNA						PN96_RS00245
NZ_CP009977.1	49873	50889	1	plus	uncharacterized gene		70915789	pseudogene						PN96_RS23650
NZ_CP009977.1	51213	52571	1	minus	sodium:proton antiporter		70911202	protein-coding			WP_024372849.1	sodium:proton antiporter	452	PN96_RS00260
NZ_CP009977.1	52764	56444	1	plus	methionine synthase	metH	70911203	protein-coding			WP_020334526.1	methionine synthase	1226	PN96_RS00265
NZ_CP009977.1	56508	57860	1	minus	lysine-sensitive aspartokinase 3	lysC	70911204	protein-coding			WP_020334525.1	lysine-sensitive aspartokinase 3	450	PN96_RS00270
NZ_CP009977.1	58366	59487	1	plus	alanine--glyoxylate aminotransferase family protein		70911205	protein-coding			WP_020334524.1	alanine--glyoxylate aminotransferase family protein	373	PN96_RS00280
NZ_CP009977.1	59538	61316	1	minus	PglL family O-oligosaccharyltransferase		70911206	protein-coding			WP_024372850.1	PglL family O-oligosaccharyltransferase	592	PN96_RS00285
NZ_CP009977.1	61384	64206	1	minus	excinuclease ABC subunit UvrA	uvrA	70911207	protein-coding			WP_020334520.1	excinuclease ABC subunit UvrA	940	PN96_RS00290
NZ_CP009977.1	64355	65227	1	minus	UTP--glucose-1-phosphate uridylyltransferase GalU	galU	70911208	protein-coding			WP_014233119.1	UTP--glucose-1-phosphate uridylyltransferase GalU	290	PN96_RS00295
NZ_CP009977.1	65407	66051	1	minus	LuxR C-terminal-related transcriptional regulator		70911209	protein-coding			WP_020334518.1	LuxR C-terminal-related transcriptional regulator	214	PN96_RS00300
NZ_CP009977.1	66329	66868	1	plus	single-stranded DNA-binding protein		70911210	protein-coding			WP_014233117.1	single-stranded DNA-binding protein	179	PN96_RS00305
NZ_CP009977.1	67106	69115	1	plus	RNase E specificity factor CsrD	csrD	70911211	protein-coding			WP_031334688.1	RNase E specificity factor CsrD	669	PN96_RS00310
NZ_CP009977.1	69127	70572	1	plus	hypothetical protein		70911212	protein-coding			WP_020334516.1	hypothetical protein	481	PN96_RS00315
NZ_CP009977.1	70569	71219	1	plus	type II secretion system protein GspM	gspM	70911213	protein-coding			WP_020334515.1	type II secretion system protein GspM	216	PN96_RS00320
NZ_CP009977.1	71212	71544	1	plus	hypothetical protein		70911214	protein-coding			WP_020334514.1	hypothetical protein	110	PN96_RS00325
NZ_CP009977.1	71565	73244	1	plus	pilus (MSHA type) biogenesis protein MshL	mshL	70911215	protein-coding			WP_024372853.1	pilus (MSHA type) biogenesis protein MshL	559	PN96_RS00330
NZ_CP009977.1	73289	74134	1	plus	AAA family ATPase		70911216	protein-coding			WP_020334512.1	AAA family ATPase	281	PN96_RS00335
NZ_CP009977.1	74131	75231	1	plus	tetratricopeptide repeat protein		70911217	protein-coding			WP_020334511.1	tetratricopeptide repeat protein	366	PN96_RS00340
NZ_CP009977.1	75228	76952	1	plus	GspE/PulE family protein		70911218	protein-coding			WP_020334510.1	GspE/PulE family protein	574	PN96_RS00345
NZ_CP009977.1	76961	78184	1	plus	type II secretion system F family protein		70911219	protein-coding			WP_020334509.1	type II secretion system F family protein	407	PN96_RS00350
NZ_CP009977.1	78188	78643	1	plus	hypothetical protein		70911220	protein-coding			WP_020334508.1	hypothetical protein	151	PN96_RS00355
NZ_CP009977.1	78932	79414	1	plus	type II secretion system protein		70911221	protein-coding			WP_020334506.1	type II secretion system protein	160	PN96_RS00360
NZ_CP009977.1	79483	79713	1	plus	type II secretion system protein		70911222	protein-coding			WP_020334505.1	type II secretion system protein	76	PN96_RS00365
NZ_CP009977.1	79838	80326	1	plus	type II secretion system protein		70911223	protein-coding			WP_020334504.1	type II secretion system protein	162	PN96_RS00370
NZ_CP009977.1	80323	80898	1	plus	type II secretion system protein		70911224	protein-coding			WP_020334503.1	type II secretion system protein	191	PN96_RS00375
NZ_CP009977.1	80898	81635	1	plus	prepilin-type N-terminal cleavage/methylation domain-containing protein		70911225	protein-coding			WP_020334502.1	prepilin-type N-terminal cleavage/methylation domain-containing protein	245	PN96_RS00380
NZ_CP009977.1	81625	82059	1	plus	hypothetical protein		70911226	protein-coding			WP_020334501.1	hypothetical protein	144	PN96_RS00385
NZ_CP009977.1	82064	85765	1	plus	DUF6701 domain-containing protein		70911227	protein-coding			WP_020334500.1	DUF6701 domain-containing protein	1233	PN96_RS00390
NZ_CP009977.1	85918	86961	1	plus	rod shape-determining protein		70911228	protein-coding			WP_014233099.1	rod shape-determining protein	347	PN96_RS00395
NZ_CP009977.1	87111	88010	1	plus	rod shape-determining protein MreC	mreC	70911229	protein-coding			WP_020334499.1	rod shape-determining protein MreC	299	PN96_RS00400
NZ_CP009977.1	88000	88488	1	plus	rod shape-determining protein MreD	mreD	70911230	protein-coding			WP_014233097.1	rod shape-determining protein MreD	162	PN96_RS00405
NZ_CP009977.1	88493	89062	1	plus	Maf family protein		70911231	protein-coding			WP_020334498.1	Maf family protein	189	PN96_RS00410
NZ_CP009977.1	89081	90550	1	plus	ribonuclease G	rng	70911232	protein-coding			WP_014233095.1	ribonuclease G	489	PN96_RS00415
NZ_CP009977.1	90562	94440	1	plus	YhdP family protein		70911233	protein-coding			WP_020334497.1	YhdP family protein	1292	PN96_RS00420
NZ_CP009977.1	94482	95303	1	plus	carbon-nitrogen hydrolase family protein		70911234	protein-coding			WP_020334496.1	carbon-nitrogen hydrolase family protein	273	PN96_RS00425
NZ_CP009977.1	95315	96760	1	plus	metalloprotease TldD	tldD	70911235	protein-coding			WP_020334495.1	metalloprotease TldD	481	PN96_RS00430
NZ_CP009977.1	96834	98210	1	minus	PhoH family protein		70911236	protein-coding			WP_014233091.1	PhoH family protein	458	PN96_RS00435
NZ_CP009977.1	98778	101687	1	plus	RNA polymerase-associated protein RapA	rapA	70911237	protein-coding			WP_014233090.1	RNA polymerase-associated protein RapA	969	PN96_RS00440
NZ_CP009977.1	101776	103041	1	minus	divalent metal cation transporter		70911238	protein-coding			WP_024372854.1	divalent metal cation transporter	421	PN96_RS00445
NZ_CP009977.1	103437	104189	1	plus	bifunctional tRNA pseudouridine(32) synthase/23S rRNA pseudouridine(746) synthase RluA	rluA	70911239	protein-coding			WP_020334493.1	bifunctional tRNA pseudouridine(32) synthase/23S rRNA pseudouridine(746) synthase RluA	250	PN96_RS00450
NZ_CP009977.1	104222	105184	1	plus	D-2-hydroxyacid dehydrogenase		70911240	protein-coding			WP_020334492.1	D-2-hydroxyacid dehydrogenase	320	PN96_RS00455
NZ_CP009977.1	105251	105778	1	minus	ribosome biogenesis factor YjgA	yjgA	70911241	protein-coding			WP_014233086.1	ribosome biogenesis factor YjgA	175	PN96_RS00460
NZ_CP009977.1	105889	107232	1	plus	metalloprotease PmbA	pmbA	70911242	protein-coding			WP_020334491.1	metalloprotease PmbA	447	PN96_RS00465
NZ_CP009977.1	107311	108666	1	minus	magnesium transporter	mgtE	70911243	protein-coding			WP_014233084.1	magnesium transporter	451	PN96_RS00470
NZ_CP009977.1	108911	109186	1	minus	HPr family phosphocarrier protein		70911244	protein-coding			WP_014233083.1	HPr family phosphocarrier protein	91	PN96_RS00475
NZ_CP009977.1	109189	110052	1	minus	RNase adapter RapZ	rapZ	70911245	protein-coding			WP_014233082.1	RNase adapter RapZ	287	PN96_RS00480
NZ_CP009977.1	110068	110514	1	minus	PTS IIA-like nitrogen regulatory protein PtsN	ptsN	70911246	protein-coding			WP_014233081.1	PTS IIA-like nitrogen regulatory protein PtsN	148	PN96_RS00485
NZ_CP009977.1	110517	110804	1	minus	ribosome hibernation promoting factor	hpf	70911247	protein-coding			WP_014233080.1	ribosome hibernation promoting factor	95	PN96_RS00490
NZ_CP009977.1	110828	112300	1	minus	RNA polymerase factor sigma-54		70911248	protein-coding			WP_020334488.1	RNA polymerase factor sigma-54	490	PN96_RS00495
NZ_CP009977.1	112351	113076	1	minus	LPS export ABC transporter ATP-binding protein	lptB	70911249	protein-coding			WP_014233078.1	LPS export ABC transporter ATP-binding protein	241	PN96_RS00500
NZ_CP009977.1	113078	113572	1	minus	lipopolysaccharide transport periplasmic protein LptA	lptA	70911250	protein-coding			WP_014233077.1	lipopolysaccharide transport periplasmic protein LptA	164	PN96_RS00505
NZ_CP009977.1	113553	114116	1	minus	LPS export ABC transporter periplasmic protein LptC	lptC	70911251	protein-coding			WP_020334487.1	LPS export ABC transporter periplasmic protein LptC	187	PN96_RS00510
NZ_CP009977.1	114194	115165	1	minus	arabinose-5-phosphate isomerase KdsD	kdsD	70911252	protein-coding			WP_014233075.1	arabinose-5-phosphate isomerase KdsD	323	PN96_RS00515
NZ_CP009977.1	115205	116170	1	minus	calcium/sodium antiporter		70911253	protein-coding			WP_014233074.1	calcium/sodium antiporter	321	PN96_RS00520
NZ_CP009977.1	116628	117431	1	plus	phospholipid ABC transporter ATP-binding protein MlaF	mlaF	70911254	protein-coding			WP_014233073.1	phospholipid ABC transporter ATP-binding protein MlaF	267	PN96_RS00525
NZ_CP009977.1	117421	118212	1	plus	lipid asymmetry maintenance ABC transporter permease subunit MlaE	mlaE	70911255	protein-coding			WP_014233072.1	lipid asymmetry maintenance ABC transporter permease subunit MlaE	263	PN96_RS00530
NZ_CP009977.1	118215	118703	1	plus	outer membrane lipid asymmetry maintenance protein MlaD	mlaD	70911256	protein-coding			WP_014233071.1	outer membrane lipid asymmetry maintenance protein MlaD	162	PN96_RS00535
NZ_CP009977.1	118706	119344	1	plus	phospholipid-binding protein MlaC		70911257	protein-coding			WP_020334486.1	phospholipid-binding protein MlaC	212	PN96_RS00540
NZ_CP009977.1	119344	119664	1	plus	lipid asymmetry maintenance protein MlaB		70911258	protein-coding			WP_014233069.1	lipid asymmetry maintenance protein MlaB	106	PN96_RS00545
NZ_CP009977.1	119668	119922	1	plus	BolA family iron metabolism protein IbaG	ibaG	70911259	protein-coding			WP_014233068.1	BolA family iron metabolism protein IbaG	84	PN96_RS00550
NZ_CP009977.1	119932	121197	1	plus	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	murA	70911260	protein-coding			WP_020334485.1	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	421	PN96_RS00555
NZ_CP009977.1	121327	122052	1	plus	1-acylglycerol-3-phosphate O-acyltransferase		70911261	protein-coding			WP_014233066.1	1-acylglycerol-3-phosphate O-acyltransferase	241	PN96_RS00560
NZ_CP009977.1	122128	122517	1	minus	RidA family protein		70911262	protein-coding			WP_014233065.1	RidA family protein	129	PN96_RS00565
NZ_CP009977.1	122648	123109	1	minus	aspartate carbamoyltransferase regulatory subunit	pyrI	70911263	protein-coding			WP_014233064.1	aspartate carbamoyltransferase regulatory subunit	153	PN96_RS00570
NZ_CP009977.1	123125	124054	1	minus	aspartate carbamoyltransferase	pyrB	70911264	protein-coding			WP_020334484.1	aspartate carbamoyltransferase	309	PN96_RS00575
NZ_CP009977.1	124328	125332	1	minus	ornithine carbamoyltransferase		70911265	protein-coding			WP_020334483.1	ornithine carbamoyltransferase	334	PN96_RS00585
NZ_CP009977.1	125483	126706	1	minus	arginine deiminase	arcA	70911266	protein-coding			WP_020334482.1	arginine deiminase	407	PN96_RS00590
NZ_CP009977.1	127265	127681	1	plus	ribonuclease E inhibitor RraB	rraB	70911267	protein-coding			WP_014233060.1	ribonuclease E inhibitor RraB	138	PN96_RS00595
NZ_CP009977.1	127828	128628	1	plus	hypothetical protein		70911268	protein-coding			WP_020334481.1	hypothetical protein	266	PN96_RS00600
NZ_CP009977.1	128649	129086	1	minus	uncharacterized gene		70911269	pseudogene						PN96_RS00605
NZ_CP009977.1	129189	129593	1	minus	DUF2061 domain-containing protein		70911270	protein-coding			WP_020334479.1	DUF2061 domain-containing protein	134	PN96_RS00610
NZ_CP009977.1	129799	132657	1	minus	valine--tRNA ligase		70911271	protein-coding			WP_020334478.1	valine--tRNA ligase	952	PN96_RS00615
NZ_CP009977.1	132817	133266	1	minus	DNA polymerase III subunit chi		70911272	protein-coding			WP_014233055.1	DNA polymerase III subunit chi	149	PN96_RS00620
NZ_CP009977.1	133369	134877	1	minus	leucyl aminopeptidase	pepA	70911273	protein-coding			WP_020334476.1	leucyl aminopeptidase	502	PN96_RS00625
NZ_CP009977.1	135078	136178	1	plus	LPS export ABC transporter permease LptF	lptF	70911274	protein-coding			WP_020334475.1	LPS export ABC transporter permease LptF	366	PN96_RS00630
NZ_CP009977.1	136182	137252	1	plus	LPS export ABC transporter permease LptG	lptG	70911275	protein-coding			WP_014233052.1	LPS export ABC transporter permease LptG	356	PN96_RS00635
NZ_CP009977.1	137285	137764	1	minus	RDD family protein		70911276	protein-coding			WP_014233051.1	RDD family protein	159	PN96_RS00640
NZ_CP009977.1	137957	139225	1	minus	DUF2254 domain-containing protein		70911277	protein-coding			WP_020334474.1	DUF2254 domain-containing protein	422	PN96_RS00645
NZ_CP009977.1	139404	140069	1	plus	SDR family NAD(P)-dependent oxidoreductase		70911278	protein-coding			WP_020334473.1	SDR family NAD(P)-dependent oxidoreductase	221	PN96_RS00650
NZ_CP009977.1	140258	140342	1	plus	tRNA-Leu		70911279	tRNA						PN96_RS00655
NZ_CP009977.1	141077	142015	1	plus	bile acid:sodium symporter family protein		70911280	protein-coding			WP_014233048.1	bile acid:sodium symporter family protein	312	PN96_RS00660
NZ_CP009977.1	142155	142829	1	minus	SDR family oxidoreductase		70911281	protein-coding			WP_020334472.1	SDR family oxidoreductase	224	PN96_RS00665
NZ_CP009977.1	143131	144384	1	plus	HD-GYP domain-containing protein		70911282	protein-coding			WP_020334471.1	HD-GYP domain-containing protein	417	PN96_RS00670
NZ_CP009977.1	144871	146423	1	plus	16S ribosomal RNA		70911283	rRNA						PN96_RS00680
NZ_CP009977.1	146489	146565	1	plus	tRNA-Ile		70911284	tRNA						PN96_RS00685
NZ_CP009977.1	146611	146686	1	plus	tRNA-Ala		70911285	tRNA						PN96_RS00690
NZ_CP009977.1	146950	149839	1	plus	23S ribosomal RNA		70911286	rRNA						PN96_RS00695
NZ_CP009977.1	149933	150048	1	plus	5S ribosomal RNA	rrf	70911287	rRNA						PN96_RS00700
NZ_CP009977.1	150110	150185	1	plus	tRNA-Thr		70911288	tRNA						PN96_RS00705
NZ_CP009977.1	150204	150320	1	plus	5S ribosomal RNA	rrf	70911289	rRNA						PN96_RS00710
NZ_CP009977.1	150352	150428	1	plus	tRNA-Asp		70911290	tRNA						PN96_RS00715
NZ_CP009977.1	151641	151716	1	minus	tRNA-Asn		70911291	tRNA						PN96_RS00720
NZ_CP009977.1	151752	151827	1	minus	tRNA-Thr		70911292	tRNA						PN96_RS00725
NZ_CP009977.1	151867	151942	1	minus	tRNA-Asn		70911293	tRNA						PN96_RS00730
NZ_CP009977.1	151963	152038	1	minus	tRNA-Thr		70911294	tRNA						PN96_RS00735
NZ_CP009977.1	152093	152168	1	minus	tRNA-Phe		70911295	tRNA						PN96_RS00740
NZ_CP009977.1	152402	154027	1	minus	methyl-accepting chemotaxis protein		70911296	protein-coding			WP_020334007.1	methyl-accepting chemotaxis protein	541	PN96_RS00745
NZ_CP009977.1	154293	154368	1	minus	tRNA-Asn		70911297	tRNA						PN96_RS00750
NZ_CP009977.1	154423	154498	1	minus	tRNA-Phe		70911298	tRNA						PN96_RS00755
NZ_CP009977.1	154506	154581	1	minus	tRNA-Thr		70911299	tRNA						PN96_RS00760
NZ_CP009977.1	154651	154726	1	minus	tRNA-Asn		70911300	tRNA						PN96_RS00765
NZ_CP009977.1	154799	154874	1	minus	tRNA-Phe		70911301	tRNA						PN96_RS00770
NZ_CP009977.1	154882	154957	1	minus	tRNA-Thr		70911302	tRNA						PN96_RS00775
NZ_CP009977.1	155012	155087	1	minus	tRNA-Phe		70911303	tRNA						PN96_RS00780
NZ_CP009977.1	155188	156330	1	minus	membrane-bound lytic murein transglycosylase MltC	mltC	70911304	protein-coding			WP_020334006.1	membrane-bound lytic murein transglycosylase MltC	380	PN96_RS00785
NZ_CP009977.1	156423	156695	1	minus	oxidative damage protection protein		70911305	protein-coding			WP_014233043.1	oxidative damage protection protein	90	PN96_RS00790
NZ_CP009977.1	156715	157791	1	minus	A/G-specific adenine glycosylase	mutY	70911306	protein-coding			WP_020334005.1	A/G-specific adenine glycosylase	358	PN96_RS00795
NZ_CP009977.1	157995	158714	1	plus	tRNA (guanosine(46)-N7)-methyltransferase TrmB	trmB	70911307	protein-coding			WP_014233041.1	tRNA (guanosine(46)-N7)-methyltransferase TrmB	239	PN96_RS00800
NZ_CP009977.1	158726	159754	1	plus	DNA methylase		70911308	protein-coding			WP_020334004.1	DNA methylase	342	PN96_RS00805
NZ_CP009977.1	159843	160763	1	plus	glutaminase B	glsB	70911309	protein-coding			WP_014233039.1	glutaminase B	306	PN96_RS00810
NZ_CP009977.1	160842	162017	1	minus	radical SAM family heme chaperone HemW	hemW	70911310	protein-coding			WP_024372823.1	radical SAM family heme chaperone HemW	391	PN96_RS00815
NZ_CP009977.1	162035	162637	1	minus	XTP/dITP diphosphatase		70911311	protein-coding			WP_014233038.1	XTP/dITP diphosphatase	200	PN96_RS00820
NZ_CP009977.1	162771	163202	1	minus	DUF4426 domain-containing protein		70911312	protein-coding			WP_020334002.1	DUF4426 domain-containing protein	143	PN96_RS00825
NZ_CP009977.1	163277	163567	1	minus	DUF167 family protein YggU	yggU	70911313	protein-coding			WP_014233036.1	DUF167 family protein YggU	96	PN96_RS00830
NZ_CP009977.1	163567	164124	1	minus	YggT family protein		70911314	protein-coding			WP_014233035.1	YggT family protein	185	PN96_RS00835
NZ_CP009977.1	164177	164995	1	minus	pyrroline-5-carboxylate reductase	proC	70911315	protein-coding			WP_020334000.1	pyrroline-5-carboxylate reductase	272	PN96_RS00840
NZ_CP009977.1	165118	165831	1	minus	YggS family pyridoxal phosphate-dependent enzyme		70911316	protein-coding			WP_020333999.1	YggS family pyridoxal phosphate-dependent enzyme	237	PN96_RS00845
NZ_CP009977.1	165860	166900	1	plus	type IV pilus twitching motility protein PilT		70911317	protein-coding			WP_014233032.1	type IV pilus twitching motility protein PilT	346	PN96_RS00850
NZ_CP009977.1	166931	168037	1	plus	PilT/PilU family type 4a pilus ATPase		70911318	protein-coding			WP_014233031.1	PilT/PilU family type 4a pilus ATPase	368	PN96_RS00855
NZ_CP009977.1	168103	168528	1	minus	Holliday junction resolvase RuvX	ruvX	70911319	protein-coding			WP_014233030.1	Holliday junction resolvase RuvX	141	PN96_RS00860
NZ_CP009977.1	168570	169133	1	minus	YqgE/AlgH family protein		70911320	protein-coding			WP_014233029.1	YqgE/AlgH family protein	187	PN96_RS00865
NZ_CP009977.1	169513	170463	1	minus	glutathione synthase	gshB	70911321	protein-coding			WP_020333997.1	glutathione synthase	316	PN96_RS00875
NZ_CP009977.1	170478	171209	1	minus	16S rRNA (uracil(1498)-N(3))-methyltransferase	rsmE	70911322	protein-coding			WP_020333996.1	16S rRNA (uracil(1498)-N(3))-methyltransferase	243	PN96_RS00880
NZ_CP009977.1	171349	172044	1	minus	deoxyribonuclease I	endA	70911323	protein-coding			WP_020333995.1	deoxyribonuclease I	231	PN96_RS00885
NZ_CP009977.1	172176	172673	1	minus	SprT family zinc-dependent metalloprotease		70911324	protein-coding			WP_020333994.1	SprT family zinc-dependent metalloprotease	165	PN96_RS00890
NZ_CP009977.1	172739	173536	1	minus	DUF2189 domain-containing protein		70911325	protein-coding			WP_014233024.1	DUF2189 domain-containing protein	265	PN96_RS00895
NZ_CP009977.1	174012	175166	1	minus	methionine adenosyltransferase	metK	70911326	protein-coding			WP_014233023.1	methionine adenosyltransferase	384	PN96_RS00900
NZ_CP009977.1	175483	177477	1	plus	transketolase	tkt	70911327	protein-coding			WP_020333990.1	transketolase	664	PN96_RS00910
NZ_CP009977.1	177619	178659	1	plus	erythrose-4-phosphate dehydrogenase	epd	70911328	protein-coding			WP_014233020.1	erythrose-4-phosphate dehydrogenase	346	PN96_RS00915
NZ_CP009977.1	178814	179974	1	plus	phosphoglycerate kinase		70911329	protein-coding			WP_014233019.1	phosphoglycerate kinase	386	PN96_RS00920
NZ_CP009977.1	180129	181205	1	plus	class II fructose-bisphosphate aldolase	fbaA	70911330	protein-coding			WP_014233018.1	class II fructose-bisphosphate aldolase	358	PN96_RS00925
NZ_CP009977.1	181648	182514	1	plus	small-conductance mechanosensitive channel MscS	mscS	70911331	protein-coding			WP_014233017.1	small-conductance mechanosensitive channel MscS	288	PN96_RS00930
NZ_CP009977.1	182630	183259	1	minus	LysE/ArgO family amino acid transporter		70911332	protein-coding			WP_024372923.1	LysE/ArgO family amino acid transporter	209	PN96_RS00935
NZ_CP009977.1	183392	184288	1	plus	LysR family transcriptional regulator ArgP		70911333	protein-coding			WP_020333988.1	LysR family transcriptional regulator ArgP	298	PN96_RS00940
