rid,Name,Stoichiometry,dG,EC
R06987,propanoyl-CoA:formate C-propanoyltransferase,CoA + 2-Oxobutanoate <-> Propanoyl-CoA + Formate,-3.5586346187342173,2.3.1.54
R07650,"L-2,4-diaminobutanoate carboxy-lyase","L-2,4-Diaminobutanoate -> CO2 + 1,3-Diaminopropane",-35.46048551693211,4.1.1.86
R00212,acetyl-CoA:formate C-acetyltransferase,Acetyl-CoA + Formate <- CoA + Pyruvate,19.814039438597177,2.3.1.54
R00697,L-phenylalanine ammonia-lyase (trans-cinnamate-forming),L-Phenylalanine -> Ammonia + trans-Cinnamate,-20.82991260614463,4.3.1.24/4.3.1.25
R05681,NAD-dependent threonine 4-phosphate dehydrogenase,O-Phospho-4-hydroxy-L-threonine + NAD+ <-> 2-Amino-3-oxo-4-phosphonooxybutyrate + H+ + NADH,9.691541160624638,1.1.1.262
R01072,5-phosphoribosylamine:diphosphate phospho-alpha-D-ribosyltransferase (glutamate-amidating),Diphosphate + L-Glutamate + 5-Phosphoribosylamine <- 5-Phospho-alpha-D-ribose 1-diphosphate + L-Glutamine + H2O,81.2283625367356,2.4.2.14
EX_C00267,alpha-D-Glucose,alpha-D-Glucose -> ,,
R03270,2-oxoglutarate dehydrogenase complex [step 2],Enzyme N6-(lipoyl)lysine + 2-(alpha-Hydroxyethyl)thiamine diphosphate <-> Thiamin diphosphate + [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine,,1.2.4.1
EX_C01019,L-Fucose,L-Fucose <- ,,
R02103,xanthine:NAD+ oxidoreductase,NAD+ + Xanthine + H2O -> Urate + H+ + NADH,-25.883413870669074,1.17.1.4
R04966,tetradecanoyl-[acp]:NAD+ trans-2-oxidoreductase,Tetradecanoyl-[acp] + NAD+ <-> H+ + NADH + trans-Tetradec-2-enoyl-[acp],,1.3.1.9/2.3.1.-
EX_C00167,UDP-glucuronate,UDP-glucuronate -> ,,
R01870,orotidine-5'-phosphate:diphosphate phospho-alpha-D-ribosyl-transferase,Diphosphate + Orotidine 5'-phosphate <-> 5-Phospho-alpha-D-ribose 1-diphosphate + Orotate,-3.7232034354222776,2.4.2.10
R00959,"alpha-D-glucose 1-phosphate 1,6-phosphomutase",D-Glucose 1-phosphate <-> alpha-D-Glucose 6-phosphate,0.776214858663252,5.4.2.2/5.4.2.5
R03293,trans-4-hydroxy-L-proline:NADP+ 5-oxidoreductase,Hydroxyproline + NADP+ <- H+ + L-1-Pyrroline-3-hydroxy-5-carboxylate + NADPH,44.22653874197431,1.5.1.2
R01736,(R)-S-lactoylglutathione hydrolase,(R)-S-Lactoylglutathione + H2O -> Glutathione + (R)-Lactate,-51.097137620449644,3.1.2.6
R03348,nicotinate-nucleotide:pyrophosphate phosphoribosyltransferase (carboxylating),Diphosphate + Nicotinate D-ribonucleotide + CO2 <- 5-Phospho-alpha-D-ribose 1-diphosphate + Quinolinate,43.05568746882072,2.4.2.19
R00125,"P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase","P1,P4-Bis(5'-adenosyl)tetraphosphate + H2O -> ADP",-60.95538274030801,3.6.1.41
R04594,"N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole hydrolase","N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole + H2O -> alpha-Ribazole + Orthophosphate",-32.258243824368144,3.1.3.73
R10707,acetyl-CoA:malonyl-[acyl-carrier protein] C-acetyltransferase (decarboxylating),Malonyl-[acyl-carrier protein] + Acetyl-CoA <-> CoA + CO2 + Acetoacetyl-[acp],,2.3.1.180
R06529,adenosylcobyric acid:(R)-1-aminopropan-2-yl phosphate ligase,Adenosyl cobyrinate hexaamide + D-1-Aminopropan-2-ol O-phosphate + ATP -> Adenosyl cobinamide phosphate + ADP + Orthophosphate,-36.42200333568481,6.3.1.10
R02777,dTDP-beta-L-rhamnose:NADP+ 4-oxidoreductase,NADP+ + dTDP-L-rhamnose <-> dTDP-4-dehydro-beta-L-rhamnose + H+ + NADPH,-4.137297847547416,1.1.1.133
R00253,L-glutamate:ammonia ligase (ADP-forming),Ammonia + L-Glutamate + ATP <-> ADP + Orthophosphate + L-Glutamine,-15.296216993936241,6.3.1.2
R01291,"S-(5-deoxy-D-ribos-5-yl)-L-homocysteine homocysteine-lyase [(4S)-4,5-dihydroxypentan-2,3-dione-forming]","S-Ribosyl-L-homocysteine -> (S)-4,5-Dihydroxypentane-2,3-dione + L-Homocysteine",-32.717331211024,4.4.1.21
R00428,"GTP 8,9-hydrolase",GTP + H2O <- Formamidopyrimidine nucleoside triphosphate,8.151407137622414,3.5.4.16
R03105,3-mercaptopyruvate:sulfide sulfurtransferase,Thioredoxin + Mercaptopyruvate -> Pyruvate + Thioredoxin disulfide + Hydrogen sulfide,-33.21169480134224,2.8.1.2
R01768,hypoxanthine:NAD+ oxidoreductase,NAD+ + Hypoxanthine + H2O <-> H+ + Xanthine + NADH,13.435295487472104,1.17.1.4
R02323,nicotinamide ribonucleotide phosphohydrolase,Nicotinamide D-ribonucleotide + H2O -> Nicotinamide-beta-riboside + Orthophosphate,-11.557788167268875,3.1.3.5/3.1.3.-
R01049,ATP:D-ribose-5-phosphate diphosphotransferase,D-Ribose 5-phosphate + ATP <-> 5-Phospho-alpha-D-ribose 1-diphosphate + AMP,-3.393641772784804,2.7.6.1
R00782,L-cysteine hydrogen-sulfide-lyase (deaminating pyruvate-forming),L-Cysteine + H2O -> Pyruvate + Ammonia + Hydrogen sulfide,-41.67738965934971,4.4.1.1/4.4.1.13/4.4.1.28
R00243,L-glutamate:NAD+ oxidoreductase (deaminating),L-Glutamate + NAD+ + H2O <-> Ammonia + 2-Oxoglutarate + H+ + NADH,16.300842958771312,1.4.1.2/1.4.1.3/1.4.1.14
R03180,4-guanidinobutanamide amidohydrolase,4-Guanidinobutanamide + H2O -> Ammonia + 4-Guanidinobutanoate,-29.173640391427085,3.5.1.4
R03260,O-succinyl-L-homoserine succinate-lyase (adding cysteine),L-Cysteine + O-Succinyl-L-homoserine -> Succinate + L-Cystathionine,-64.51336396019383,2.5.1.48
R02571,glutaryl-CoA:enzyme-N6-(dihydrolipoyl)lysine S-glutaryltransferase,Enzyme N6-(dihydrolipoyl)lysine + Glutaryl-CoA <-> CoA + [Dihydrolipoyllysine-residue succinyltransferase] S-glutaryldihydrolipoyllysine,,2.3.1.61
R01706,hexadecanoyl-[acyl-carrier protein] hydrolase,Hexadecanoyl-[acp] + H2O <-> Hexadecanoic acid + Acyl-carrier protein,,2.3.1.85/3.1.2.14
EX_C00126,Ferrocytochrome c,Ferrocytochrome c <-> ,,
R08093,3-hydroxy-5-methylhex-4-enoyl-CoA hydro-lyase,"(2E)-5-Methylhexa-2,4-dienoyl-CoA + H2O <-> 3-Hydroxy-5-methylhex-4-enoyl-CoA",0.43195383352394856,4.2.1.17
R02473,(R)-pantoate:beta-alanine ligase (AMP-forming),beta-Alanine + ATP + (R)-Pantoate -> Diphosphate + AMP + Pantothenate,-50.06419509095201,6.3.2.1
R02734,"N-succinyl-LL-2,6-diaminoheptanedioate amidohydrolase","N-Succinyl-LL-2,6-diaminoheptanedioate + H2O <-> Succinate + LL-2,6-Diaminoheptanedioate",-9.09320445178642,3.5.1.18
R01877,uridine 3'-monophosphate phosphohydrolase,3'-UMP + H2O -> Uridine + Orthophosphate,-30.61700392967304,3.1.3.6
R04958,octanoyl-[acp]:NAD+ trans-2-oxidoreductase,Octanoyl-[acp] + NAD+ <-> trans-Oct-2-enoyl-[acp] + H+ + NADH,,1.3.1.9/2.3.1.-
R04558,5-[(5-phospho-1-deoxy-D-ribulos-1-ylamino)methylideneamino]-1-(5-phospho-beta-D-ribosyl)imidazole-4-carboxamide D-erythro-1-(imidazol-4-yl)glycerol 3-phosphate-lyase (L-glutamine-hydrolysing 5-amino-1-(5-phospho-beta-D-ribosyl)imidazole-4-carboxamide-forming),L-Glutamine + N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide <- 1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide + L-Glutamate + D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate,216.437287990567,4.3.2.10
R00575,"HCO3-:L-glutamine amido-ligase (ADP-forming, carbamate-phosphorylating)",HCO3- + ATP + L-Glutamine + H2O <-> Carbamoyl phosphate + L-Glutamate + ADP + Orthophosphate,-32.15197541176781,6.3.5.5
R00093,L-glutamate:NAD+ oxidoreductase (transaminating),L-Glutamate + NAD+ <- 2-Oxoglutarate + H+ + L-Glutamine + NADH,47.76121677350034,1.4.1.14
R04428,(3R)-3-hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase,(3R)-3-Hydroxybutanoyl-[acyl-carrier protein] <-> But-2-enoyl-[acyl-carrier protein] + H2O,,2.3.1.85/2.3.1.86/2.3.1.-/4.2.1.59
R02401,glutarate-semialdehyde:NAD+ oxidoreductase,5-Oxopentanoate + H2O + NAD+ -> H+ + Glutarate + NADH,-45.69633151630228,1.2.1.20
EX_C00266,Glycolaldehyde,Glycolaldehyde -> ,,
R01083,"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming)","N6-(1,2-Dicarboxyethyl)-AMP <-> Fumarate + AMP",-0.8957274954223351,4.3.2.2
R09839,"2,3-didehydroadipoyl-CoA:acetyl-CoA C-didehydroadipoyltransferase (double bond migration)","CoA + 3-Oxo-5,6-dehydrosuberyl-CoA -> Acetyl-CoA + 5-Carboxy-2-pentenoyl-CoA",-30.173272631548116,2.3.1.223
R02413,shikimate:NADP+ 3-oxidoreductase,NADP+ + Shikimate <-> 3-Dehydroshikimate + H+ + NADPH,6.5300719888095955,1.1.1.25/1.1.1.282
R03869,(S)-methylmalonate semialdehyde:NAD+ oxidoreductase,(S)-Methylmalonate semialdehyde + NAD+ + H2O -> Methylmalonate + H+ + NADH,-45.7118051858788,1.2.1.3
R00257,deamido-NAD+:L-glutamine amido-ligase (AMP-forming),ATP + L-Glutamine + Deamino-NAD+ + H2O -> Diphosphate + L-Glutamate + AMP + NAD+,-55.071543183645105,6.3.5.1
R04587,UDP-3-O-[(3R)-3-hydroxymyristoyl]-N-acetylglucosamine amidohydrolase,UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine + H2O -> Acetate + UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine,-23.864144665675127,3.5.1.108
R05634,ATP:4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol 2-phosphotransferase,4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol + ATP <-> ADP + 2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol,-9.579787988853582,2.7.1.148
R00765,D-glucosamine-6-phosphate aminohydrolase (ketol isomerizing),D-Glucosamine 6-phosphate + H2O -> Ammonia + D-Fructose 6-phosphate,-15.814986826164755,3.5.99.6
R06412,"trans-2-methyl-5-isopropylhexa-2,5-dienoyl-CoA hydro-lyase","trans-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA + H2O <-> 3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA",3.686804256981759,4.2.1.17
R01372,"phenylpyruvate:oxygen oxidoreductase (hydroxylating,decarboxylating)",Oxygen + Phenylpyruvate -> CO2 + 2-Hydroxyphenylacetate,-506.4777066561352,1.13.11.27
R00114,L-glutamate:NADP+ oxidoreductase (transaminating),L-Glutamate + NADP+ <- 2-Oxoglutarate + H+ + L-Glutamine + NADPH,47.76336086848937,1.4.1.13
R01961,ATP:D-glucosamine 6-phosphotransferase,D-Glucosamine + ATP <-> D-Glucosamine 6-phosphate + ADP,-11.29235543566108,2.7.1.1/2.7.1.8
R10092,carbonate hydro-lyase (carbon-dioxide-forming),HCO3- + H+ <- CO2 + H2O,8.048871281984766,4.2.1.1
R00479,isocitrate glyoxylate-lyase (succinate-forming),Isocitrate <-> Succinate + Glyoxylate,-7.578990343475148,4.1.3.1
R04188,L-3-amino-isobutanoate:2-oxoglutarate aminotransferase,L-3-Aminoisobutanoate + 2-Oxoglutarate <-> L-Glutamate + (S)-Methylmalonate semialdehyde,0.8227782205748326,2.6.1.22
R10178,4-aminobutanoate:pyruvate aminotransferase,Pyruvate + 4-Aminobutanoate <-> Succinate semialdehyde + L-Alanine,6.3535819743047455,2.6.1.96
EX_C00288,HCO3-,HCO3- -> ,,
R04001,3-isopropylmalate hydro-lyase,"(2R,3S)-3-Isopropylmalate <-> 2-Isopropylmaleate + H2O",-3.695077414270429,4.2.1.33
EX_C06424,Tetradecanoic acid,Tetradecanoic acid -> ,,
R01395,ATP:carbamate phosphotransferase,Carbamate + ATP <- Carbamoyl phosphate + ADP,16.82874852082125,2.7.2.2/6.3.5.5
R02297,xanthosine:orthophosphate ribosyltransferase,Orthophosphate + Xanthosine <-> Xanthine + alpha-D-Ribose 1-phosphate,10.69200692844288,2.4.2.1
R00758,D-mannitol-1-phosphate:NAD+ 5-oxidoreductase,NAD+ + D-Mannitol 1-phosphate <-> H+ + D-Fructose 6-phosphate + NADH,6.988039778053917,1.1.1.17
R01251,L-proline:NADP+ 5-oxidoreductase,NADP+ + L-Proline <- H+ + (S)-1-Pyrroline-5-carboxylate + NADPH,44.49125737056124,1.5.1.2
R00751,L-threonine acetaldehyde-lyase (glycine-forming),L-Threonine <-> Acetaldehyde + Glycine,-7.119280950084146,4.1.2.5/4.1.2.48
R04378,1-(5'-phosphoribosyl)-5-amino-4-imidazolecarboxamide:pyrophosphate phosphoribosyltransferase,Diphosphate + 1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide <- 5-Phospho-alpha-D-ribose 1-diphosphate + 5-Amino-4-imidazolecarboxyamide,41.15301043842061,2.4.2.7
R01986,4-aminobutyraldehyde:NAD+ oxidoreductase,H2O + NADP+ + 4-Aminobutyraldehyde -> 4-Aminobutanoate + H+ + NADPH,-53.24073468906431,1.2.1.3
R04543,(3R)-3-hydroxypalmitoyl-[acyl-carrier-protein]:NADP+ oxidoreductase,(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein] + NADP+ <-> H+ + 3-Oxohexadecanoyl-[acp] + NADPH,,1.1.1.100/1.1.1.-/2.3.1.85/2.3.1.86
EX_C06423,Octanoic acid,Octanoic acid -> ,,
R00267,isocitrate:NADP+ oxidoreductase (decarboxylating),NADP+ + Isocitrate <-> CO2 + 2-Oxoglutarate + H+ + NADPH,-11.708728317719675,1.1.1.42
R03898,2-methylmaleate hydratase,2-Methylmaleate + H2O <- D-erythro-3-Methylmalate,8.792923733489147,4.2.1.35
R02167,D-mannitol-1-phosphate phosphohydrolase,H2O + D-Mannitol 1-phosphate -> Orthophosphate + Mannitol,-28.998731673681192,3.1.3.22
R05070,"(R)-2,3-dihydroxy-3-methylpentanoate hydro-lyase","(R)-2,3-Dihydroxy-3-methylpentanoate -> (S)-3-Methyl-2-oxopentanoic acid + H2O",-36.928253986879895,4.2.1.9
R11173,adenosylcobalamin-5'-phosphate phosphohydrolase,Adenosylcobalamin 5'-phosphate + H2O -> Orthophosphate + Cobamide coenzyme,-21.596790522861653,3.1.3.73
R05605,2-dehydro-3-deoxy-6-phospho-D-gluconate D-glyceraldehyde-3-phosphate-lyase (pyruvate-forming),2-Dehydro-3-deoxy-6-phospho-D-gluconate <-> Pyruvate + D-Glyceraldehyde 3-phosphate,-0.8504872507285768,4.1.2.14/4.1.2.55
R02370,cytidine 3'-phosphate phosphohydrolase,3'-CMP + H2O -> Cytidine + Orthophosphate,-39.4775934434001,3.1.3.6
R07302,adenosylcobyric acid:(R)-1-aminopropan-2-ol ligase (ADP-forming),Adenosyl cobyrinate hexaamide + ATP + (R)-1-Aminopropan-2-ol -> Adenosyl cobinamide + ADP + Orthophosphate,-40.71273178100474,6.3.1.10
R02164,succinate:quinone oxidoreductase,Succinate + Quinone <-> Fumarate + Hydroquinone,,1.3.5.1
R00548,riboflavin-5-phosphate phosphohydrolase,FMN + H2O -> Riboflavin + Orthophosphate,-32.472244275012365,3.1.3.2/3.1.3.102
R01858,dGTP:pyruvate 2-O-phosphotransferase,dGTP + Pyruvate <- dGDP + Phosphoenolpyruvate,23.25845021135214,2.7.1.40
R10991,2-aminobutanoate:2-oxoglutarate aminotransferase,2-Oxoglutarate + (S)-2-Aminobutanoate <-> 2-Oxobutanoate + L-Glutamate,-10.99368024099175,2.6.1.42
R11073,"7,8-dihydroneopterin 2'-epimerase","7,8-Dihydroneopterin <-> 7,8-Dihydromonapterin",0.0,5.1.99.8
R08210,dimethylallyl diphosphate:ferredoxin oxidoreductase,Dimethylallyl diphosphate + Oxidized ferredoxin + H2O <- Reduced ferredoxin + 1-Hydroxy-2-methyl-2-butenyl 4-diphosphate + H+,75.74167963263221,1.17.7.4
R02018,2'-deoxyuridine 5'-diphosphate:oxidized-thioredoxin 2'-oxidoreductase,dUDP + Thioredoxin disulfide + H2O <- Thioredoxin + UDP,41.696892989041885,1.17.4.1
EX_C00003,NAD+,NAD+ <-> ,,
R01863,inosine:phosphate alpha-D-ribosyltransferase,Inosine + Orthophosphate <-> Hypoxanthine + alpha-D-Ribose 1-phosphate,7.689387036265771,2.4.2.1
R00868,D-mannitol:NAD+ 2-oxidoreductase,NAD+ + Mannitol <-> H+ + D-Fructose + NADH,6.876133723343855,1.1.1.11/1.1.1.67
R00926,propionyladenylate:CoA propionyltransferase,CoA + Propionyladenylate <-> Propanoyl-CoA + AMP,,6.2.1.1/6.2.1.17
R02704,protein-N(pi)-phosphohistidine:mannitol 1-phosphotransferase,Protein N(pi)-phospho-L-histidine + Mannitol <-> Protein histidine + D-Mannitol 1-phosphate,,2.7.1.197
EX_C00042,Succinate,Succinate -> ,,
R01567,ATP:thymidine 5'-phosphotransferase,Thymidine + ATP -> ADP + dTMP,-20.600512760895867,2.7.1.21/2.7.1.145
R01976,(S)-3-hydroxybutanoyl-CoA:NADP+ oxidoreductase,NADP+ + (S)-3-Hydroxybutanoyl-CoA <-> Acetoacetyl-CoA + H+ + NADPH,13.840210937466281,1.1.1.157
R11372,"(8S)-3',8-cyclo-7,8-dihydroguanosine 5'-triphosphate lyase (cyclic pyranopterin phosphate-forming)","(8S)-3',8-Cyclo-7,8-dihydroguanosine 5'-triphosphate + H2O <-> Diphosphate + Precursor Z",,4.6.1.17
R01280,palmitate:CoA ligase (AMP-forming),CoA + Hexadecanoic acid + ATP <-> Diphosphate + AMP + Palmitoyl-CoA,-13.525631023943788,6.2.1.3
R03929,"2',3'-cyclic CMP 3'-nucleotidohydrolase","H2O + 2',3'-Cyclic CMP -> 3'-CMP",-32.958188047100975,3.1.4.16
EX_C00022,Pyruvate,Pyruvate -> ,,
R09489,protoporphyrinogen IX:quinone oxidoreductase,Protoporphyrinogen IX + Quinone <-> Protoporphyrin + Hydroquinone,,1.3.5.3
R04448,ATP:4-methyl-5-(2-hydroxyethyl)thiazole 2-phosphotransferase,ATP + 5-(2-Hydroxyethyl)-4-methylthiazole -> ADP + 4-Methyl-5-(2-phosphooxyethyl)thiazole,-18.35897711498427,2.7.1.50
R00760,ATP:D-fructose 6-phosphotransferase,ATP + D-Fructose -> ADP + D-Fructose 6-phosphate,-17.645953080273387,2.7.1.1/2.7.1.4
R01827,sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase,D-Glyceraldehyde 3-phosphate + Sedoheptulose 7-phosphate <-> beta-D-Fructose 6-phosphate + D-Erythrose 4-phosphate,3.4184060459862735,2.2.1.2
R00922,2-methyl-3-oxopropanoate:NAD+ oxidoreductase (CoA-propanoylating),CoA + NAD+ + 2-Methyl-3-oxopropanoate -> Propanoyl-CoA + CO2 + H+ + NADH,-30.012947353350683,1.2.1.27
R08620,2-(2'-methylthio)ethylmalate hydroxymutase,2-(2'-Methylthio)ethylmalic acid <-> 3-(2'-Methylthio)ethylmalic acid,4.086542779355284,4.2.1.170
R09082,carboxynorspermidine carboxy-lyase (norspermidine-forming),Carboxynorspermidine -> CO2 + Norspermidine,-39.55566749187097,4.1.1.96
R00209,pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating),Pyruvate + CoA + NAD+ -> CO2 + Acetyl-CoA + H+ + NADH,-34.226838870158645,1.2.1.104
R10859,(E)-4-hydroxy-3-methylbut-2-en-1-yl-diphosphate:oxidized flavodoxin oxidoreductase,"1-Hydroxy-2-methyl-2-butenyl 4-diphosphate + Oxidized flavodoxin + H2O <-> Reduced flavodoxin + 2-C-Methyl-D-erythritol 2,4-cyclodiphosphate",,1.17.7.3
R04639,"2-amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl) dihydropteridine triphosphate hydrolase","H2O + 7,8-Dihydroneopterin 3'-triphosphate <- 2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine",39.89863456039541,3.5.4.16
R05225,adenosylcobyric acid synthase,"Adenosyl cobyrinate a,c diamide + ATP + L-Glutamine + H2O -> Adenosyl cobyrinate hexaamide + L-Glutamate + Orthophosphate + ADP",-215.18387167646654,6.3.5.10
EX_C00697,Nitrogen,Nitrogen <- ,,
R02539,phenylacetate:CoA ligase,CoA + ATP + Phenylacetic acid <-> Diphosphate + Phenylacetyl-CoA + AMP,-13.99848958897769,6.2.1.30
R00214,(S)-malate:NAD+ oxidoreductase (decarboxylating),(S)-Malate + NAD+ <-> Pyruvate + CO2 + H+ + NADH,-5.00988701483621,1.1.1.38/1.1.1.39
R00851,acyl-CoA:sn-glycerol-3-phosphate 1-O-acyltransferase,Acyl-CoA + sn-Glycerol 3-phosphate <-> CoA + 1-Acyl-sn-glycerol 3-phosphate,,2.3.1.15
EX_C00005,NADPH,NADPH <-> ,,
EX_C01904,D-Arabitol,D-Arabitol -> ,,
R11636,CTP:formate 2'-oxidoreductase,Formate + CTP -> CO2 + dCTP + H2O,-57.99709899808573,1.1.98.6
R11765,"tetrahydrobiopterin:NADP+ oxidoreductase (7,8-dihydrobiopterin-forming)","NADP+ + Tetrahydrobiopterin <- 7,8-Dihydrobiopterin + H+ + NADPH",17.49083594882768,1.5.1.3/1.5.1.33
R01676,guanine aminohydrolase,Guanine + H2O <- Ammonia + Xanthine,253.22578581213233,3.5.4.3
R07418,4-(gamma-L-glutamylamino)butanal:NADP+ oxidoreductase,gamma-Glutamyl-gamma-aminobutyraldehyde + NADP+ + H2O -> 4-(L-gamma-Glutamylamino)butanoate + H+ + NADPH,-43.98892718450816,1.2.1.99
EX_C00064,L-Glutamine,L-Glutamine -> ,,
R01213,"acetyl-CoA:3-methyl-2-oxobutanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)",alpha-Isopropylmalate + CoA <- Acetyl-CoA + 3-Methyl-2-oxobutanoic acid + H2O,26.483168367753024,2.3.3.13
R01731,L-arogenate:2-oxoglutarate aminotransferase,Oxaloacetate + L-Arogenate <-> L-Aspartate + Prephenate,-12.38728922983671,2.6.1.57/2.6.1.78
R04747,hexanoyl-CoA:acetyl-CoA C-acyltransferase,Hexanoyl-CoA + Acetyl-CoA <- CoA + 3-Oxooctanoyl-CoA,30.173820388936292,2.3.1.16
R06942,(3S)-3-hydroxyacyl-CoA hydro-lyase,5-Carboxy-2-pentenoyl-CoA + H2O <-> (3S)-3-Hydroxyadipyl-CoA,0.43177001502294843,4.2.1.17
R04144,5-phospho-D-ribosylamine:glycine ligase (ADP-forming),ATP + 5-Phosphoribosylamine + Glycine -> 5'-Phosphoribosylglycinamide + ADP + Orthophosphate,-27.229166155201675,6.3.4.13
R01177,butanoyl-CoA:acetyl-CoA C-butanoyltransferase,Butanoyl-CoA + Acetyl-CoA <- CoA + 3-Oxohexanoyl-CoA,30.430436146604734,2.3.1.9/2.3.1.16
R06604,"5-hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate carboxy-lyase [(S)-allantoin-forming]","5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate -> (S)-Allantoin + CO2",-84.18876978266806,4.1.1.97
EX_C00507,L-Rhamnose,L-Rhamnose <- ,,
EX_C00256,(R)-Lactate,(R)-Lactate -> ,,
R06979,ectoine hydro-lyase,N(gamma)-Acetyldiaminobutyrate <- H2O + Ectoine,22.203037277874444,4.2.1.108
R08634,2-(3'-methylthio)pentylmalate hydroxymutase,2-(5'-Methylthio)pentylmalic acid <-> 3-(5'-Methylthio)pentylmalic acid,4.082442800747231,4.2.1.170
EX_C00263,L-Homoserine,L-Homoserine <- ,,
R05048,"2,5-diaminopyrimidine nucleoside triphosphate mutase","2,5-Diaminopyrimidine nucleoside triphosphate -> 2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine",-9.755366241114189,3.5.4.16
