Protein,MW,Length
WP_014233032.1,38.247539040000035,346
WP_014233031.1,41.30034564000002,368
WP_014233030.1,15.69580084000001,141
WP_014233029.1,20.721446540000002,187
WP_020333997.1,35.232378139999994,316
WP_020333996.1,27.154296840000004,243
WP_020333995.1,26.48001554000001,231
WP_020333994.1,19.062151440000026,165
WP_014233024.1,29.441131639999984,265
WP_014233023.1,42.017690839999936,384
WP_020333990.1,71.9299873400001,664
WP_014233020.1,38.22638834000002,346
WP_014233019.1,40.698547039999944,386
WP_014233018.1,38.61740833999997,358
WP_014233017.1,30.794023240000005,288
WP_024372923.1,22.39253224,209
WP_020333988.1,33.82590384000001,298
WP_014233014.1,25.244685739999998,230
WP_014233013.1,44.54097863999992,410
WP_014233012.1,23.230533040000008,218
WP_020333987.1,22.695023640000006,197
WP_020333986.1,11.390850940000004,102
WP_020333985.1,20.26879334000001,192
WP_020333984.1,43.42155513999997,392
WP_020333983.1,44.04454923999993,402
WP_014233006.1,8.138766240000002,68
WP_020333982.1,17.40444914000002,157
WP_020333981.1,35.43187664,322
WP_014233003.1,10.044494640000005,86
WP_236614654.1,15.647117740000011,141
WP_014233002.1,60.91661073999989,540
WP_014233001.1,21.739741140000007,192
WP_014233000.1,22.867672840000015,208
WP_014232999.1,35.870779039999995,319
WP_014232998.1,16.58637424000002,156
WP_020333977.1,65.90752713999983,597
WP_014232996.1,33.66985213999999,299
WP_014232995.1,25.066538140000006,225
WP_014232994.1,36.54668703999998,320
WP_014232993.1,27.414905740000002,243
WP_020333976.1,26.616424039999995,243
WP_020333975.1,13.711762040000012,126
WP_020333974.1,104.50168594000016,932
WP_020333973.1,49.39068703999998,439
WP_014232988.1,84.08525894000005,739
WP_020333972.1,30.03178564,263
WP_020333971.1,60.15784223999985,546
WP_014232985.1,45.61872083999993,433
WP_014232984.1,10.841184240000004,93
WP_020333970.1,25.571097140000006,235
WP_014232982.1,17.121519940000017,159
WP_020333968.1,38.367211039999965,347
WP_024372917.1,27.22284134,248
WP_014232979.1,23.20367474000001,208
WP_024372916.1,33.58448674000002,307
WP_061778639.1,37.316137039999965,328
WP_014232976.1,94.83616624000021,853
WP_020333963.1,17.371658640000025,163
WP_014232974.1,37.54205503999997,348
WP_020333962.1,18.42279684,155
WP_020333961.1,94.4014871400003,860
WP_020333960.1,42.50582764,395
WP_004415691.1,7.11221364,65
WP_014232970.1,9.08685644,85
WP_020333959.1,64.32562693999985,595
WP_020333958.1,39.38218263999996,376
WP_020333957.1,33.38203814000002,316
WP_020333956.1,16.912973240000017,153
WP_020333955.1,105.5126538400004,947
WP_020333954.1,59.43788843999987,522
WP_014232963.1,23.090821740000006,201
WP_014232962.1,19.05076194000001,172
WP_014232961.1,47.502204739999904,425
WP_014232960.1,29.071852540000005,264
WP_014232959.1,50.31071303999991,460
WP_005379962.1,9.063410039999999,82
WP_014232958.1,21.00595814000001,182
WP_014232957.1,28.406212140000008,253
WP_005379971.1,13.277403640000003,117
WP_014232956.1,7.156835840000002,64
WP_020333952.1,28.731955539999994,246
WP_020333951.1,23.079376740000026,204
WP_020333950.1,32.31037893999998,289
WP_020333949.1,45.05127813999991,407
WP_020333948.1,62.1408998399999,561
WP_020333947.1,15.920274040000018,152
WP_020333946.1,32.24058004,295
WP_020333945.1,20.289071040000003,181
WP_014232947.1,29.033951440000017,255
WP_014232946.1,99.40058664000024,886
WP_020333942.1,65.20043733999974,629
WP_014232944.1,51.001884939999904,475
WP_020333941.1,23.655954640000015,204
WP_014232942.1,19.97595024000001,176
WP_014232941.1,25.33268154000002,222
WP_014232940.1,59.366844339999886,556
WP_014232939.1,34.08228694000001,303
WP_014232938.1,28.449800040000017,256
WP_020333938.1,33.26579624,300
WP_020333937.1,28.672136639999998,264
WP_014232935.1,17.924369440000014,161
WP_020333936.1,53.04940213999995,454
WP_020333935.1,32.28465614000001,287
WP_014232932.1,17.179426940000006,148
WP_020333934.1,26.922452840000012,242
WP_024372747.1,91.48870664000017,822
WP_020333932.1,88.92679584000012,790
WP_020333931.1,86.06443084000026,772
WP_020333930.1,94.00579344000022,865
WP_020333929.1,39.17192633999997,377
WP_020333928.1,42.11543433999998,421
WP_020333927.1,44.36910563999999,391
WP_014232923.1,14.23088214000001,122
WP_005386570.1,12.361221940000004,112
WP_014232922.1,42.85679143999991,409
WP_014232921.1,37.262490639999974,337
WP_020333925.1,60.82720553999983,541
WP_020333924.1,37.77001714,343
WP_020333923.1,52.32676953999989,470
WP_024372752.1,90.26133534000017,802
WP_020333921.1,73.20563143999996,639
WP_020333920.1,31.909481640000003,298
WP_020333919.1,65.1786237399999,573
WP_014232913.1,37.23880153999998,331
WP_014232912.1,36.463186339999986,327
WP_014232911.1,36.83438313999997,341
WP_014232910.1,36.24411273999998,328
WP_014232909.1,63.02061003999986,560
WP_020333918.1,127.36102944000062,1128
WP_024372754.1,9.672385740000005,84
WP_020333917.1,38.12322113999994,341
WP_014232906.1,40.035568639999916,361
WP_014232904.1,45.832309039999956,431
WP_014232903.1,11.88526344000001,113
WP_020333914.1,39.072985139999936,360
WP_020333913.1,114.22031114000058,1038
WP_014232900.1,48.537549239999876,429
WP_014232899.1,44.19977413999997,395
WP_014232897.1,30.17745504,281
WP_014232896.1,52.56479843999992,473
WP_020333911.1,36.610739639999956,339
WP_014232894.1,17.496846340000015,157
WP_005380066.1,10.986908440000004,98
WP_014232893.1,23.216677040000004,209
WP_020333909.1,72.42159123999998,659
WP_020333908.1,30.51547844,277
WP_020333907.1,47.67463793999993,446
WP_014232888.1,11.549362340000005,112
WP_014232887.1,16.648858940000014,151
WP_020333905.1,54.868898039999905,495
WP_014232885.1,99.18087524000032,904
WP_014232884.1,15.215506340000012,131
WP_014232883.1,35.21544943999998,314
WP_014232882.1,10.062609340000002,89
WP_020333903.1,76.84048764000005,711
WP_020333902.1,35.49612753999999,305
WP_020333901.1,48.71674013999991,448
WP_020333900.1,32.93750074000001,292
WP_014232877.1,37.57842674000001,337
WP_020333899.1,76.86179613999997,679
WP_014232875.1,19.729643740000018,175
WP_020333897.1,18.45489724,167
WP_020333896.1,15.07234494000001,132
WP_020333895.1,17.244369640000006,151
WP_020333894.1,59.24641483999986,529
WP_014232870.1,6.991825339999998,60
WP_020333893.1,29.374789840000002,257
WP_014232868.1,44.120887139999915,427
WP_014232867.1,27.788809939999986,258
WP_020334469.1,47.04974503999997,442
WP_020334468.1,44.188513239999985,406
WP_014232864.1,25.951903439999995,239
WP_014232863.1,22.572545040000005,201
WP_014232862.1,35.96403023999997,326
WP_020334466.1,89.35015184000025,782
WP_014232860.1,49.19551933999991,459
WP_014232859.1,76.39948704,696
WP_020334465.1,35.35263704,308
WP_020334464.1,8.658021240000004,69
WP_024373071.1,63.10386703999976,564
WP_020334462.1,28.30536834,242
WP_020334461.1,6.423399839999999,57
WP_020334460.1,17.774352640000018,162
WP_020334459.1,48.979971539999895,435
WP_020334458.1,26.64404844000003,245
WP_020334457.1,52.772440439999905,490
WP_020334456.1,8.04998884,73
WP_024373070.1,47.74174863999996,446
WP_020334454.1,17.28597584000001,156
WP_020334453.1,18.977646240000006,171
WP_020334452.1,45.36472403999993,407
WP_020334451.1,53.616019739999906,479
WP_020334450.1,36.59356243999996,322
WP_020334448.1,35.13732643999998,315
WP_020334447.1,37.43994594000001,338
WP_020334335.1,35.62740493999998,313
WP_020334333.1,44.9946014399999,398
WP_020334332.1,28.101473240000022,242
WP_020334331.1,43.76612313999995,391
WP_020334330.1,65.7036775399997,574
WP_020334329.1,40.42017783999994,380
WP_020334328.1,34.78364404,305
WP_024373069.1,36.88179123999995,330
WP_020334325.1,36.02795623999999,332
WP_020334323.1,21.080304739999995,198
WP_020334322.1,20.601067540000013,183
WP_024373068.1,44.70370533999995,394
WP_014232829.1,36.14730033999998,315
WP_020334320.1,58.32249463999995,519
WP_014232827.1,29.52855924000001,264
WP_014232826.1,55.661738339999935,505
WP_020334318.1,29.763652339999965,283
WP_020334317.1,50.517926439999876,454
WP_020334316.1,39.83449493999996,351
WP_014232822.1,35.69631393999997,343
WP_024373065.1,63.78096503999995,584
WP_014232820.1,11.101636940000002,98
WP_014232819.1,33.922809339999986,301
WP_020334314.1,35.161065939999965,324
WP_020334313.1,69.7849193399999,607
WP_020334312.1,132.33400644000073,1163
WP_050571930.1,137.11864214000073,1224
WP_020334310.1,78.95716774000013,719
WP_014232813.1,48.8841437399999,445
WP_020334309.1,13.532416640000008,118
WP_020334308.1,40.52629903999992,367
WP_014232810.1,29.399780040000007,269
WP_020334306.1,15.776994540000006,142
WP_020334305.1,34.329557140000006,305
WP_020334304.1,43.977156639999954,403
WP_014232806.1,21.559044040000014,199
WP_020334303.1,33.11267784000004,296
WP_020334302.1,30.21773943999997,272
WP_020334301.1,22.641034039999997,198
WP_020334300.1,46.97735673999996,452
WP_014232801.1,22.962407340000016,194
WP_020334298.1,24.118298739999986,219
WP_014232799.1,50.000558239999926,450
WP_014232798.1,19.88354304000001,181
WP_014232797.1,20.812721040000014,189
WP_020336457.1,42.87393323999996,384
WP_014232795.1,11.550001240000004,102
WP_014232794.1,48.60666743999993,446
WP_014232793.1,45.320210939999896,414
WP_020335166.1,27.144760339999976,256
WP_014232791.1,22.620026239999998,210
WP_014232790.1,21.525825240000007,198
WP_014232789.1,45.041350239999936,407
WP_014232788.1,36.78900513999998,334
WP_014232787.1,8.28684584,77
WP_014232786.1,9.03307224,77
WP_236614663.1,38.85376203999996,342
WP_020335164.1,72.31045104000003,641
WP_020335163.1,17.500820940000015,159
WP_020335162.1,27.593671339999993,247
WP_020335161.1,49.19942953999988,454
WP_005456636.1,7.031121339999999,63
WP_014232780.1,7.282169940000002,68
WP_020335160.1,63.174131939999796,571
WP_020335159.1,26.005793740000016,236
WP_020335158.1,9.776986640000006,84
WP_005380299.1,4.79884644,41
WP_014232776.1,56.34759963999987,528
WP_014232775.1,16.280679940000002,147
WP_020335155.1,10.945849540000005,97
WP_020335154.1,17.906421640000012,161
WP_014232771.1,11.505386840000007,99
WP_020335153.1,39.25499873999998,345
WP_020335152.1,12.278155940000005,104
WP_020335151.1,29.916191639999997,258
WP_014232767.1,14.757189840000013,127
WP_020335150.1,100.41710364000024,874
WP_014232765.1,32.31985134000001,292
WP_014232764.1,26.769677039999987,242
WP_014232763.1,29.74517763999999,281
WP_005494271.1,26.224246239999996,243
WP_014232762.1,20.602750540000017,185
WP_014232761.1,28.491749740000007,251
WP_024373059.1,30.82480663999999,280
WP_020335145.1,43.02362773999996,401
WP_020335144.1,49.135881039999866,452
WP_020335143.1,89.95484704000029,804
WP_014232756.1,18.84393404,169
WP_020335141.1,36.30841943999997,343
WP_014232754.1,16.93560534000001,150
WP_020335139.1,28.21210834000001,262
WP_020335138.1,42.75582783999996,379
WP_020335137.1,23.702497140000002,217
WP_014232750.1,130.2711000400007,1159
WP_020335136.1,35.528664839999976,319
WP_020335135.1,49.770802439999926,438
WP_020335134.1,10.547141639999998,103
WP_014232746.1,12.485408940000008,112
WP_020335133.1,31.71296694000001,281
WP_020335132.1,25.90842614,228
WP_020335131.1,58.446991539999836,526
WP_020335130.1,28.190245540000024,252
WP_014232741.1,29.232723939999985,251
WP_020335128.1,17.441631840000007,154
WP_014232739.1,27.03352344000001,240
WP_020335127.1,46.971728239999926,416
WP_020335126.1,64.01749143999984,587
WP_020335125.1,88.74464154000012,814
WP_014232735.1,20.776602940000018,191
WP_020335124.1,31.64783183999999,281
WP_014232733.1,23.863013140000007,215
WP_014232732.1,36.949947439999974,346
WP_014232731.1,22.667354640000006,208
WP_014232730.1,42.86530933999988,417
WP_020335123.1,43.385646039999976,399
WP_014232728.1,16.340355640000016,146
WP_014232727.1,20.53558044000001,189
WP_014232726.1,13.020004340000009,116
WP_014232725.1,53.887486139999936,483
WP_014232724.1,8.92619424,78
WP_014232723.1,39.34915193999997,357
WP_020333623.1,17.472943240000017,156
WP_020333622.1,19.940788140000016,180
WP_020333621.1,31.645998139999996,294
WP_020333620.1,38.16916413999996,339
WP_014232689.1,7.8531077400000004,67
WP_020333619.1,26.382966440000004,233
WP_020333618.1,41.07127563999994,378
WP_020333617.1,13.440344240000007,116
WP_014232685.1,11.011608440000003,95
WP_020333616.1,12.187915040000012,109
WP_014232683.1,13.27920574000001,118
WP_020333615.1,18.709969440000027,161
WP_014232681.1,33.28187923999998,300
WP_020333614.1,40.54615123999997,377
WP_014232679.1,40.094131239999996,377
WP_020333613.1,39.77776874,376
WP_014232677.1,15.828741340000011,144
WP_020333612.1,72.36340513999998,668
WP_020333611.1,11.948798940000005,101
WP_020333610.1,14.787996140000008,136
WP_020333608.1,54.56823963999989,488
WP_014232671.1,38.123425039999994,343
WP_014232670.1,51.36094373999988,469
WP_014232669.1,11.023571140000005,103
WP_014232668.1,63.78593143999991,580
WP_014232667.1,38.53687414000002,351
WP_020333606.1,29.84933144000002,266
WP_020333605.1,46.68702053999997,439
WP_020333603.1,17.85016604,147
WP_020333601.1,68.50489614000003,641
WP_020333599.1,17.898493640000005,167
WP_014232661.1,39.66025003999999,348
WP_005448377.1,14.890821540000015,136
WP_020333598.1,15.192928540000015,141
WP_020333597.1,31.47132034,289
WP_014232658.1,10.311660040000001,89
WP_014232657.1,28.901680440000003,260
WP_020333596.1,42.225530739999996,376
WP_014232655.1,75.85222423999991,699
WP_014232654.1,56.91476713999987,506
WP_020333595.1,32.02315114000001,295
WP_020333594.1,27.33066174000001,244
WP_020333593.1,13.84123114000001,122
WP_014232650.1,27.73135944000002,246
WP_020333592.1,78.04040743999995,728
WP_024373050.1,39.70505043999998,370
WP_020334594.1,28.66356884,258
WP_020334592.1,37.21864953999997,328
WP_014232645.1,18.383797240000014,164
WP_024373049.1,18.33235154,163
WP_014232643.1,23.10654134000001,205
WP_020334589.1,23.73291764000001,222
WP_014232641.1,27.895843240000005,247
WP_014232640.1,7.7029438400000005,68
WP_014232639.1,17.71535524000001,161
WP_020334588.1,74.10721313999991,661
WP_020334587.1,20.515645340000013,184
WP_020334586.1,18.35310134000001,161
WP_014232635.1,44.95010753999997,404
WP_020334585.1,28.753271639999998,256
WP_020334584.1,46.74656403999997,431
WP_014232632.1,45.78997573999998,420
WP_014232631.1,26.800646040000007,242
WP_020334581.1,22.354439340000003,191
WP_020334580.1,46.34727993999996,435
WP_020334579.1,76.92228553999998,703
WP_014232627.1,8.986163640000003,82
WP_020334578.1,106.0948982400002,925
WP_014232625.1,17.490677940000012,154
WP_014232624.1,20.173025640000002,176
WP_014232623.1,35.34025703999998,310
WP_014232622.1,39.13206733999994,361
WP_014232621.1,22.27877584000002,207
WP_020334577.1,20.41301354000001,176
WP_014232619.1,9.692753940000001,87
WP_020334576.1,18.476530240000013,174
WP_020334575.1,75.16099873999997,672
WP_014232616.1,42.62616213999994,403
WP_020334574.1,70.1854363399999,607
WP_155521823.1,5.5975949400000005,50
WP_020334572.1,27.40958474000002,250
WP_020334571.1,50.985554039999826,437
WP_020334569.1,72.75499753999996,640
WP_020334568.1,41.712971939999974,377
WP_020334567.1,37.38322903999998,337
WP_020334566.1,146.3494998400011,1321
WP_014232609.1,29.754753239999992,264
WP_014232608.1,34.02225033999998,308
WP_020334565.1,45.38443433999997,420
WP_020334564.1,22.192308140000012,199
WP_020334563.1,17.856948140000025,163
WP_014232604.1,56.033353539999915,504
WP_020334562.1,33.17214684,291
WP_014232601.1,40.35428403999998,365
WP_014232600.1,4.82574704,42
WP_231113057.1,12.918479440000013,115
WP_020334560.1,19.637714140000014,181
WP_020334559.1,79.1714314400002,716
WP_014232596.1,12.035829240000005,109
WP_014232595.1,21.739758540000015,199
WP_020334558.1,24.030380340000008,232
WP_014232593.1,8.773235339999996,82
WP_014232592.1,8.36400414,82
WP_014232591.1,16.813985540000015,145
WP_024373044.1,63.09582743999982,559
WP_020334555.1,57.37134973999992,525
WP_020334554.1,12.645066140000003,119
WP_020334553.1,35.21788683999999,315
WP_020334552.1,31.749145740000003,274
WP_020334551.1,32.237366340000015,294
WP_014232584.1,35.195956739999986,331
WP_020334550.1,15.390996740000011,136
WP_020334549.1,31.380525439999996,273
WP_014232581.1,10.715991740000005,94
WP_020334548.1,36.79398743999998,337
WP_020334547.1,67.67095073999995,616
WP_020334546.1,73.8438103399999,670
WP_020334545.1,19.892082240000008,182
WP_020334544.1,73.04088304000004,654
WP_020334542.1,24.967137340000004,229
WP_020334541.1,34.228983939999985,305
WP_024373042.1,26.70497514,241
WP_024373041.1,34.667455540000006,314
WP_014232571.1,29.845217839999997,268
WP_020334539.1,46.44240973999996,425
WP_014232569.1,17.81447924000001,157
WP_020334538.1,28.108724540000022,254
WP_014232567.1,34.14493203999998,322
WP_049873808.1,34.99477924000001,333
WP_020334536.1,79.10097004000009,708
WP_024373039.1,32.56487524,294
WP_014232563.1,69.18748453999997,602
WP_014232562.1,8.14741284,75
WP_014232561.1,37.69823853999997,332
WP_020334534.1,48.20101223999992,430
WP_020334533.1,43.64113563999993,387
WP_014232558.1,50.90718783999992,477
WP_014232557.1,40.27131933999997,371
WP_020334532.1,32.358304540000006,290
WP_014232555.1,22.652048040000004,212
WP_014232554.1,97.1640920400003,900
WP_020335682.1,24.98611784000001,227
WP_020335681.1,18.833040740000015,167
WP_014232551.1,21.525053340000003,194
WP_014232550.1,12.350250840000001,111
WP_020335679.1,24.112672140000004,209
WP_014232548.1,46.03197303999995,441
WP_020335678.1,23.93832344,216
WP_020335677.1,33.30076034000001,293
WP_014232545.1,16.595131340000016,144
WP_014232544.1,15.119042340000016,138
WP_020335676.1,24.100882440000017,213
WP_020335675.1,24.635356740000006,230
WP_020335674.1,22.77887574000001,210
WP_020335673.1,37.579443339999955,348
WP_020335672.1,96.83674914000044,906
WP_014232538.1,20.895209140000016,198
WP_014232537.1,20.80018154000001,192
WP_014232536.1,76.94444253999995,676
WP_049794667.1,50.37840493999989,453
WP_020335671.1,12.686385040000003,114
WP_020335670.1,32.47408574000001,298
WP_014232532.1,37.292651740000004,329
WP_014232531.1,18.736144440000015,170
WP_014232530.1,17.14585534000001,159
WP_020335669.1,9.182497440000006,85
WP_020335667.1,17.111244540000012,151
WP_024372818.1,62.77059013999988,563
WP_020335663.1,33.36663534,300
WP_014232524.1,35.978870339999986,323
WP_014232523.1,36.43744834,330
WP_014232522.1,36.53388773999998,316
WP_020335662.1,45.61865913999993,424
WP_014232520.1,76.73583254000002,714
WP_014232519.1,42.887960339999964,398
WP_014232518.1,17.176255740000013,150
WP_014232517.1,32.922587940000014,321
WP_020335661.1,32.17926734,311
WP_020335660.1,28.678121240000007,264
WP_020335659.1,70.2382422399999,608
WP_020335658.1,55.154509639999894,487
WP_020335657.1,36.54401603999999,322
WP_020335656.1,22.437640639999998,202
WP_024372816.1,20.30227814000001,178
WP_014232509.1,57.392105139999856,528
WP_014232508.1,32.13974674000001,279
WP_020335652.1,31.215913740000026,268
WP_014232506.1,78.26678034000003,691
WP_020335651.1,38.79132514,358
WP_014232504.1,24.240860240000018,213
WP_020335649.1,74.93286554000001,691
WP_014232502.1,22.24330474000001,201
WP_024372815.1,16.39179874000001,149
WP_014232500.1,55.2825754399999,519
WP_020335647.1,114.57707754,1027
WP_024372814.1,36.055824339999994,314
WP_020335645.1,21.533753640000008,193
WP_014232496.1,19.917517240000002,174
WP_014232495.1,6.298174940000001,56
WP_020335644.1,36.526194239999974,341
WP_020335643.1,33.78449803999999,316
WP_020335642.1,32.335077739999996,307
WP_024372813.1,25.592282539999992,244
WP_004406112.1,8.531373739999998,77
WP_014232490.1,43.414340339999896,416
WP_024372812.1,29.833928140000022,271
WP_020335636.1,38.22195173999997,338
WP_024372811.1,23.510706640000013,210
WP_020335634.1,35.87076273999998,320
WP_020335633.1,28.345236040000007,255
WP_020335632.1,57.07069413999981,538
WP_014232483.1,17.105229540000014,152
WP_020335630.1,49.387708739999916,476
WP_014232481.1,14.781829040000014,136
WP_020335628.1,3.26507324,31
WP_020335627.1,53.37807033999981,488
WP_020335626.1,21.32684264,196
WP_020335625.1,3.1307765400000003,30
WP_020335624.1,43.54908063999998,385
WP_020335623.1,51.64815264,480
WP_014232474.1,44.58207203999993,405
WP_020335622.1,116.6209376400004,1024
WP_020335621.1,53.303693539999976,467
WP_020335620.1,25.550577040000018,230
WP_020335619.1,27.050950239999995,248
WP_020335618.1,38.89703193999995,353
WP_014232468.1,24.628161940000002,226
WP_014232467.1,60.9577112399999,556
WP_014232466.1,10.562000740000007,93
WP_014232465.1,10.744959139999999,97
WP_014232464.1,44.746253939999974,391
WP_020335616.1,25.201050839999997,233
WP_020335615.1,70.32913913999987,612
WP_014232461.1,8.99221724,79
WP_020335614.1,37.522193439999974,334
WP_014232459.1,27.347149340000005,249
WP_020335613.1,24.916719840000017,222
WP_020335612.1,65.47733943999978,574
WP_020335611.1,21.029940240000002,189
WP_020335610.1,61.52728073999984,548
WP_020335609.1,49.24670533999994,439
WP_020335608.1,38.66040873999994,350
WP_020335607.1,22.14315484,203
WP_020335605.1,113.54423974000046,1030
WP_020335604.1,41.86643203999996,376
WP_020335603.1,27.807711840000007,255
WP_020335602.1,68.41836643999987,611
WP_020335601.1,22.142421940000006,202
WP_020335600.1,33.244412639999986,293
WP_020335599.1,96.03658734000024,857
WP_020335598.1,127.43248794000053,1115
WP_020335597.1,36.665092840000014,314
WP_020335596.1,54.367895639999844,485
WP_020335594.1,58.17928483999993,518
WP_020335592.1,31.07027154000001,278
WP_020335591.1,32.67888384,301
WP_020335589.1,76.48506963999996,702
WP_020335588.1,19.525625340000012,171
WP_014232435.1,19.29190813999999,177
WP_020335587.1,38.196944239999944,341
WP_014232433.1,39.34976083999998,354
WP_020335586.1,32.02280184,286
WP_020335585.1,19.897197040000005,180
WP_020335584.1,34.209839140000014,298
WP_020335583.1,48.00772314000001,426
WP_020335581.1,25.59541804000001,225
WP_014232427.1,87.35230034000003,778
WP_020335579.1,76.53970924000005,675
WP_020335578.1,25.294554640000012,228
WP_014232424.1,7.569520140000002,66
WP_014232423.1,33.97826353999999,303
WP_020335577.1,84.42697554000019,760
WP_014232421.1,14.246813840000014,128
WP_014232420.1,11.018442740000005,98
WP_014232419.1,14.131379340000011,131
WP_014232418.1,21.294444640000012,187
WP_014232417.1,9.143367740000004,80
WP_020335576.1,95.54124764000025,845
WP_014232414.1,44.22954393999993,422
WP_020335574.1,56.21958783999983,513
WP_014232412.1,25.77004814000001,230
WP_014232411.1,28.612536139999996,268
WP_020335573.1,42.98386143999995,396
WP_020335572.1,52.36523033999993,479
WP_020335571.1,35.37642094,332
WP_014232407.1,21.104997740000012,196
WP_020335570.1,57.601844839999984,520
WP_014232405.1,4.876587440000001,41
WP_020335567.1,32.55496333999998,289
WP_014232403.1,22.88006554,206
WP_020335566.1,25.331245140000004,236
WP_014232401.1,36.12524123999999,312
WP_014232400.1,12.253655340000005,106
WP_014232399.1,20.64221274,188
WP_020335564.1,28.86830964000001,255
WP_020335563.1,90.37267014000012,787
WP_014232396.1,23.779348340000023,214
WP_024372803.1,69.3466160399999,610
WP_014232394.1,21.241312940000007,185
WP_020335559.1,104.38129904000041,958
WP_014232392.1,46.3886851399999,417
WP_014232391.1,42.06458723999996,377
WP_020335558.1,18.464990040000007,170
WP_024372913.1,33.665495839999956,300
WP_020335556.1,45.37688243999996,410
