Query ID	Predicted EC number
tr|A0A1B1EJW7|A0A1B1EJW7_VIBNA	EC:1.11.1.21
tr|A0A1B1E884|A0A1B1E884_VIBNA	EC:5.99.1.3
tr|A0A1B1E8F4|A0A1B1E8F4_VIBNA	EC:2.3.1.16
tr|A0A1B1E8H2|A0A1B1E8H2_VIBNA	EC:3.5.4.4
tr|A0A1B1E8K2|A0A1B1E8K2_VIBNA	EC:4.1.1.49
tr|A0A1B1E8K5|A0A1B1E8K5_VIBNA	EC:3.1.1.96
tr|A0A1B1E8L7|A0A1B1E8L7_VIBNA	EC:3.1.3.7
tr|A0A1B1E8N4|A0A1B1E8N4_VIBNA	EC:2.1.1.163
tr|A0A1B1E8N4|A0A1B1E8N4_VIBNA	EC:2.1.1.201
tr|A0A1B1E8W9|A0A1B1E8W9_VIBNA	EC:2.7.7.56
tr|A0A1B1E8X1|A0A1B1E8X1_VIBNA	EC:5.1.3.20
tr|A0A1B1E8X6|A0A1B1E8X6_VIBNA	EC:2.7.7.3
tr|A0A1B1E8X9|A0A1B1E8X9_VIBNA	EC:4.2.99.18
tr|A0A1B1E8X9|A0A1B1E8X9_VIBNA	EC:3.2.2.23
tr|A0A1B1E8Y0|A0A1B1E8Y0_VIBNA	EC:1.1.1.86
tr|A0A1B1E914|A0A1B1E914_VIBNA	EC:2.7.8.33
tr|A0A1B1E928|A0A1B1E928_VIBNA	EC:5.3.1.1
tr|A0A1B1E975|A0A1B1E975_VIBNA	EC:2.7.7.4
tr|A0A1B1E986|A0A1B1E986_VIBNA	EC:2.7.1.25
tr|A0A1B1E988|A0A1B1E988_VIBNA	EC:6.3.2.45
tr|A0A1B1E989|A0A1B1E989_VIBNA	EC:3.4.25.2
tr|A0A1B1E9B4|A0A1B1E9B4_VIBNA	EC:1.1.1.85
tr|A0A1B1E9B5|A0A1B1E9B5_VIBNA	EC:2.1.1.182
tr|A0A1B1E9B8|A0A1B1E9B8_VIBNA	EC:1.1.1.262
tr|A0A1B1E9B9|A0A1B1E9B9_VIBNA	EC:5.2.1.8
tr|A0A1B1E9C0|A0A1B1E9C0_VIBNA	EC:4.2.1.33
tr|A0A1B1E9C3|A0A1B1E9C3_VIBNA	EC:2.7.7.6
tr|A0A1B1E9C4|A0A1B1E9C4_VIBNA	EC:2.6.1.16
tr|A0A1B1E9D6|A0A1B1E9D6_VIBNA	EC:4.2.1.126
tr|A0A1B1E9E5|A0A1B1E9E5_VIBNA	EC:2.7.7.4
tr|A0A1B1E9E8|A0A1B1E9E8_VIBNA	EC:2.3.1.234
tr|A0A1B1E9F4|A0A1B1E9F4_VIBNA	EC:2.7.7.72
tr|A0A1B1E9F7|A0A1B1E9F7_VIBNA	EC:2.3.1.n3
tr|A0A1B1E9G2|A0A1B1E9G2_VIBNA	EC:5.99.1.3
tr|A0A1B1E9G9|A0A1B1E9G9_VIBNA	EC:2.7.7.42
tr|A0A1B1E9G9|A0A1B1E9G9_VIBNA	EC:2.7.7.89
tr|A0A1B1E9H0|A0A1B1E9H0_VIBNA	EC:3.6.1.27
tr|A0A1B1E9H6|A0A1B1E9H6_VIBNA	EC:5.99.1.3
tr|A0A1B1E9I8|A0A1B1E9I8_VIBNA	EC:3.4.16.4
tr|A0A1B1E9J1|A0A1B1E9J1_VIBNA	EC:2.7.8.13
tr|A0A1B1E9J3|A0A1B1E9J3_VIBNA	EC:2.4.1.227
tr|A0A1B1E9J6|A0A1B1E9J6_VIBNA	EC:5.3.1.28
tr|A0A1B1E9J7|A0A1B1E9J7_VIBNA	EC:6.3.2.9
tr|A0A1B1E9J9|A0A1B1E9J9_VIBNA	EC:3.5.1.108
tr|A0A1B1E9K0|A0A1B1E9K0_VIBNA	EC:6.3.2.10
tr|A0A1B1E9K5|A0A1B1E9K5_VIBNA	EC:6.3.5.5
tr|A0A1B1E9K6|A0A1B1E9K6_VIBNA	EC:2.4.1.129
tr|A0A1B1E9L4|A0A1B1E9L4_VIBNA	EC:1.17.1.8
tr|A0A1B1E9L6|A0A1B1E9L6_VIBNA	EC:6.3.5.5
tr|A0A1B1E9M0|A0A1B1E9M0_VIBNA	EC:3.2.2.9
tr|A0A1B1E9M1|A0A1B1E9M1_VIBNA	EC:4.1.3.17
tr|A0A1B1E9M1|A0A1B1E9M1_VIBNA	EC:4.1.1.3
tr|A0A1B1E9P6|A0A1B1E9P6_VIBNA	EC:3.6.4.13
tr|A0A1B1E9Q1|A0A1B1E9Q1_VIBNA	EC:2.1.1.45
tr|A0A1B1E9Q3|A0A1B1E9Q3_VIBNA	EC:2.7.1.26
tr|A0A1B1E9Q4|A0A1B1E9Q4_VIBNA	EC:3.4.23.36
tr|A0A1B1E9Q8|A0A1B1E9Q8_VIBNA	EC:1.17.7.4
tr|A0A1B1E9Q9|A0A1B1E9Q9_VIBNA	EC:4.2.1.126
tr|A0A1B1E9R1|A0A1B1E9R1_VIBNA	EC:6.1.1.5
tr|A0A1B1E9R4|A0A1B1E9R4_VIBNA	EC:3.2.1.52
tr|A0A1B1E9S0|A0A1B1E9S0_VIBNA	EC:2.7.1.170
tr|A0A1B1E9U0|A0A1B1E9U0_VIBNA	EC:3.6.3.17
tr|A0A1B1E9U0|A0A1B1E9U0_VIBNA	EC:3.6.3.41
tr|A0A1B1E9V6|A0A1B1E9V6_VIBNA	EC:2.7.4.1
tr|A0A1B1E9X2|A0A1B1E9X2_VIBNA	EC:3.4.11.23
tr|A0A1B1E9X7|A0A1B1E9X7_VIBNA	EC:2.8.1.7
tr|A0A1B1E9Y0|A0A1B1E9Y0_VIBNA	EC:2.7.4.6
tr|A0A1B1E9Y2|A0A1B1E9Y2_VIBNA	EC:1.1.1.205
tr|A0A1B1E9Y4|A0A1B1E9Y4_VIBNA	EC:2.4.2.29
tr|A0A1B1E9Z6|A0A1B1E9Z6_VIBNA	EC:6.3.5.2
tr|A0A1B1EA31|A0A1B1EA31_VIBNA	EC:4.2.2.n1
tr|A0A1B1EA33|A0A1B1EA33_VIBNA	EC:2.7.1.23
tr|A0A1B1EA38|A0A1B1EA38_VIBNA	EC:4.1.99.12
tr|A0A1B1EA52|A0A1B1EA52_VIBNA	EC:2.7.2.11
tr|A0A1B1EA54|A0A1B1EA54_VIBNA	EC:2.5.1.78
tr|A0A1B1EA57|A0A1B1EA57_VIBNA	EC:2.1.1.186
tr|A0A1B1EA62|A0A1B1EA62_VIBNA	EC:2.2.1.7
tr|A0A1B1EA68|A0A1B1EA68_VIBNA	EC:2.8.1.8
tr|A0A1B1EA76|A0A1B1EA76_VIBNA	EC:2.3.1.181
tr|A0A1B1EA80|A0A1B1EA80_VIBNA	EC:6.3.2.8
tr|A0A1B1EA85|A0A1B1EA85_VIBNA	EC:2.8.4.3
tr|A0A1B1EA87|A0A1B1EA87_VIBNA	EC:1.2.1.70
tr|A0A1B1EA92|A0A1B1EA92_VIBNA	EC:2.7.1.148
tr|A0A1B1EA94|A0A1B1EA94_VIBNA	EC:2.4.1.129
tr|A0A1B1EAC7|A0A1B1EAC7_VIBNA	EC:2.7.3.9
tr|A0A1B1EAD4|A0A1B1EAD4_VIBNA	EC:1.7.1.13
tr|A0A1B1EAE3|A0A1B1EAE3_VIBNA	EC:2.1.2.1
tr|A0A1B1EAG5|A0A1B1EAG5_VIBNA	EC:2.7.4.3
tr|A0A1B1EAH2|A0A1B1EAH2_VIBNA	EC:4.99.1.1
tr|A0A1B1EAJ2|A0A1B1EAJ2_VIBNA	EC:6.2.1.5
tr|A0A1B1EAK1|A0A1B1EAK1_VIBNA	EC:6.2.1.5
tr|A0A1B1EAM2|A0A1B1EAM2_VIBNA	EC:3.5.4.9
tr|A0A1B1EAM2|A0A1B1EAM2_VIBNA	EC:1.5.1.5
tr|A0A1B1EAQ5|A0A1B1EAQ5_VIBNA	EC:6.1.1.18
tr|A0A1B1EAS0|A0A1B1EAS0_VIBNA	EC:1.1.1.193
tr|A0A1B1EAS0|A0A1B1EAS0_VIBNA	EC:3.5.4.26
tr|A0A1B1EAV7|A0A1B1EAV7_VIBNA	EC:4.1.3.36
tr|A0A1B1EAY5|A0A1B1EAY5_VIBNA	EC:6.1.1.17
tr|A0A1B1EB02|A0A1B1EB02_VIBNA	EC:3.6.4.12
tr|A0A1B1EB27|A0A1B1EB27_VIBNA	EC:2.2.1.9
tr|A0A1B1EB43|A0A1B1EB43_VIBNA	EC:5.99.1.2
tr|A0A1B1EB45|A0A1B1EB45_VIBNA	EC:2.7.7.27
tr|A0A1B1EB68|A0A1B1EB68_VIBNA	EC:6.1.1.12
tr|A0A1B1EB70|A0A1B1EB70_VIBNA	EC:3.6.4.12
tr|A0A1B1EBA4|A0A1B1EBA4_VIBNA	EC:2.5.1.72
tr|A0A1B1EBA8|A0A1B1EBA8_VIBNA	EC:2.3.1.47
tr|A0A1B1EBB2|A0A1B1EBB2_VIBNA	EC:6.1.1.11
tr|A0A1B1EBC0|A0A1B1EBC0_VIBNA	EC:6.3.3.3
tr|A0A1B1EBD8|A0A1B1EBD8_VIBNA	EC:2.8.1.13
tr|A0A1B1EBE1|A0A1B1EBE1_VIBNA	EC:3.6.1.31
tr|A0A1B1EBE1|A0A1B1EBE1_VIBNA	EC:3.5.4.19
tr|A0A1B1EBE4|A0A1B1EBE4_VIBNA	EC:3.6.1.54
tr|A0A1B1EBE7|A0A1B1EBE7_VIBNA	EC:3.1.3.15
tr|A0A1B1EBE7|A0A1B1EBE7_VIBNA	EC:4.2.1.19
tr|A0A1B1EBG1|A0A1B1EBG1_VIBNA	EC:3.4.21.53
tr|A0A1B1EBI1|A0A1B1EBI1_VIBNA	EC:1.7.99.1
tr|A0A1B1EBJ5|A0A1B1EBJ5_VIBNA	EC:2.8.1.6
tr|A0A1B1EBL6|A0A1B1EBL6_VIBNA	EC:1.3.1.9
tr|A0A1B1EBR9|A0A1B1EBR9_VIBNA	EC:3.5.4.5
tr|A0A1B1EBS0|A0A1B1EBS0_VIBNA	EC:3.5.2.7
tr|A0A1B1EBS4|A0A1B1EBS4_VIBNA	EC:2.5.1.19
tr|A0A1B1EBU0|A0A1B1EBU0_VIBNA	EC:3.5.1.96
tr|A0A1B1EBY9|A0A1B1EBY9_VIBNA	EC:6.1.1.3
tr|A0A1B1EBZ2|A0A1B1EBZ2_VIBNA	EC:2.6.1.62
tr|A0A1B1EC11|A0A1B1EC11_VIBNA	EC:1.13.11.16
tr|A0A1B1EC31|A0A1B1EC31_VIBNA	EC:3.7.1.14
tr|A0A1B1EC40|A0A1B1EC40_VIBNA	EC:3.5.1.5
tr|A0A1B1EC66|A0A1B1EC66_VIBNA	EC:2.7.7.77
tr|A0A1B1EC88|A0A1B1EC88_VIBNA	EC:2.8.1.4
tr|A0A1B1EC98|A0A1B1EC98_VIBNA	EC:1.9.3.1
tr|A0A1B1ECA5|A0A1B1ECA5_VIBNA	EC:2.6.1.52
tr|A0A1B1ECB3|A0A1B1ECB3_VIBNA	EC:1.1.1.38
tr|A0A1B1ECB8|A0A1B1ECB8_VIBNA	EC:4.2.1.59
tr|A0A1B1ECB8|A0A1B1ECB8_VIBNA	EC:5.3.3.14
tr|A0A1B1ECC1|A0A1B1ECC1_VIBNA	EC:1.3.5.2
tr|A0A1B1ECC9|A0A1B1ECC9_VIBNA	EC:3.6.3.41
tr|A0A1B1ECG4|A0A1B1ECG4_VIBNA	EC:2.7.8.26
tr|A0A1B1ECG6|A0A1B1ECG6_VIBNA	EC:6.3.4.20
tr|A0A1B1ECI5|A0A1B1ECI5_VIBNA	EC:4.3.99.3
tr|A0A1B1ECI8|A0A1B1ECI8_VIBNA	EC:4.1.3.30
tr|A0A1B1ECK0|A0A1B1ECK0_VIBNA	EC:1.1.1.44
tr|A0A1B1ECM7|A0A1B1ECM7_VIBNA	EC:2.3.1.46
tr|A0A1B1ECS6|A0A1B1ECS6_VIBNA	EC:2.7.2.1
tr|A0A1B1ED41|A0A1B1ED41_VIBNA	EC:5.99.1.3
tr|A0A1B1ED57|A0A1B1ED57_VIBNA	EC:2.1.1.222
tr|A0A1B1ED57|A0A1B1ED57_VIBNA	EC:2.1.1.64
tr|A0A1B1ED63|A0A1B1ED63_VIBNA	EC:3.5.4.25
tr|A0A1B1ED64|A0A1B1ED64_VIBNA	EC:4.1.1.48
tr|A0A1B1ED64|A0A1B1ED64_VIBNA	EC:5.3.1.24
tr|A0A1B1EDA0|A0A1B1EDA0_VIBNA	EC:2.1.1.14
tr|A0A1B1EDC2|A0A1B1EDC2_VIBNA	EC:4.1.1.23
tr|A0A1B1EDE1|A0A1B1EDE1_VIBNA	EC:2.3.1.180
tr|A0A1B1EDF3|A0A1B1EDF3_VIBNA	EC:2.3.1.n2
tr|A0A1B1EDG9|A0A1B1EDG9_VIBNA	EC:2.4.2.18
tr|A0A1B1EDI2|A0A1B1EDI2_VIBNA	EC:6.1.1.10
tr|A0A1B1EDJ3|A0A1B1EDJ3_VIBNA	EC:2.7.2.1
tr|A0A1B1EDU7|A0A1B1EDU7_VIBNA	EC:2.4.2.14
tr|A0A1B1EDV6|A0A1B1EDV6_VIBNA	EC:4.2.3.5
tr|A0A1B1EDW7|A0A1B1EDW7_VIBNA	EC:1.1.1.290
tr|A0A1B1EDY4|A0A1B1EDY4_VIBNA	EC:2.1.1.61
tr|A0A1B1EE11|A0A1B1EE11_VIBNA	EC:3.1.1.61
tr|A0A1B1EE51|A0A1B1EE51_VIBNA	EC:3.5.1.18
tr|A0A1B1EE71|A0A1B1EE71_VIBNA	EC:5.4.99.12
tr|A0A1B1EE79|A0A1B1EE79_VIBNA	EC:4.1.99.22
tr|A0A1B1EE84|A0A1B1EE84_VIBNA	EC:2.1.2.2
tr|A0A1B1EE88|A0A1B1EE88_VIBNA	EC:2.5.1.31
tr|A0A1B1EE91|A0A1B1EE91_VIBNA	EC:2.4.2.9
tr|A0A1B1EE97|A0A1B1EE97_VIBNA	EC:2.7.7.59
tr|A0A1B1EEA7|A0A1B1EEA7_VIBNA	EC:1.1.1.267
tr|A0A1B1EEB2|A0A1B1EEB2_VIBNA	EC:6.4.1.2
tr|A0A1B1EEC1|A0A1B1EEC1_VIBNA	EC:1.6.5.8
tr|A0A1B1EEC4|A0A1B1EEC4_VIBNA	EC:2.7.7.7
tr|A0A1B1EEC6|A0A1B1EEC6_VIBNA	EC:2.7.4.22
tr|A0A1B1EED7|A0A1B1EED7_VIBNA	EC:1.6.5.8
tr|A0A1B1EEE8|A0A1B1EEE8_VIBNA	EC:2.3.1.117
tr|A0A1B1EEE9|A0A1B1EEE9_VIBNA	EC:1.6.5.8
tr|A0A1B1EEF0|A0A1B1EEF0_VIBNA	EC:1.6.5.8
tr|A0A1B1EEF1|A0A1B1EEF1_VIBNA	EC:4.3.3.7
tr|A0A1B1EEF3|A0A1B1EEF3_VIBNA	EC:1.6.5.8
tr|A0A1B1EEH3|A0A1B1EEH3_VIBNA	EC:3.6.4.12
tr|A0A1B1EEH4|A0A1B1EEH4_VIBNA	EC:5.99.1.2
tr|A0A1B1EEJ0|A0A1B1EEJ0_VIBNA	EC:4.1.2.4
tr|A0A1B1EEJ2|A0A1B1EEJ2_VIBNA	EC:2.4.2.1
tr|A0A1B1EEJ5|A0A1B1EEJ5_VIBNA	EC:5.3.1.28
tr|A0A1B1EEJ9|A0A1B1EEJ9_VIBNA	EC:6.4.1.2
tr|A0A1B1EEL4|A0A1B1EEL4_VIBNA	EC:5.4.2.7
tr|A0A1B1EEL7|A0A1B1EEL7_VIBNA	EC:2.7.7.8
tr|A0A1B1EEM7|A0A1B1EEM7_VIBNA	EC:3.4.11.18
tr|A0A1B1EEM9|A0A1B1EEM9_VIBNA	EC:5.4.3.8
tr|A0A1B1EEQ4|A0A1B1EEQ4_VIBNA	EC:6.1.1.1
tr|A0A1B1EEQ9|A0A1B1EEQ9_VIBNA	EC:2.1.2.11
tr|A0A1B1EER7|A0A1B1EER7_VIBNA	EC:6.3.2.1
tr|A0A1B1EES2|A0A1B1EES2_VIBNA	EC:4.2.1.3
tr|A0A1B1EES2|A0A1B1EES2_VIBNA	EC:4.2.1.99
tr|A0A1B1EEW7|A0A1B1EEW7_VIBNA	EC:6.1.1.7
tr|A0A1B1EEY1|A0A1B1EEY1_VIBNA	EC:4.6.1.12
tr|A0A1B1EEY7|A0A1B1EEY7_VIBNA	EC:4.2.1.59
tr|A0A1B1EEZ7|A0A1B1EEZ7_VIBNA	EC:2.6.99.2
tr|A0A1B1EF14|A0A1B1EF14_VIBNA	EC:2.7.2.3
tr|A0A1B1EF17|A0A1B1EF17_VIBNA	EC:5.3.1.6
tr|A0A1B1EF20|A0A1B1EF20_VIBNA	EC:1.2.1.72
tr|A0A1B1EF23|A0A1B1EF23_VIBNA	EC:2.5.1.6
tr|A0A1B1EF36|A0A1B1EF36_VIBNA	EC:6.1.1.9
tr|A0A1B1EF48|A0A1B1EF48_VIBNA	EC:3.4.11.10
tr|A0A1B1EF48|A0A1B1EF48_VIBNA	EC:3.4.11.1
tr|A0A1B1EF63|A0A1B1EF63_VIBNA	EC:2.7.1.30
tr|A0A1B1EF95|A0A1B1EF95_VIBNA	EC:1.8.1.2
tr|A0A1B1EF96|A0A1B1EF96_VIBNA	EC:1.3.1.91
tr|A0A1B1EF99|A0A1B1EF99_VIBNA	EC:3.1.26.3
tr|A0A1B1EFC4|A0A1B1EFC4_VIBNA	EC:5.3.1.9
tr|A0A1B1EFC5|A0A1B1EFC5_VIBNA	EC:2.7.2.8
tr|A0A1B1EFE9|A0A1B1EFE9_VIBNA	EC:5.1.3.1
tr|A0A1B1EFF3|A0A1B1EFF3_VIBNA	EC:3.5.1.16
tr|A0A1B1EFH8|A0A1B1EFH8_VIBNA	EC:2.5.1.75
tr|A0A1B1EFI9|A0A1B1EFI9_VIBNA	EC:5.4.2.12
tr|A0A1B1EFJ2|A0A1B1EFJ2_VIBNA	EC:1.1.1.94
tr|A0A1B1EFJ8|A0A1B1EFJ8_VIBNA	EC:2.6.1.11
tr|A0A1B1EFK9|A0A1B1EFK9_VIBNA	EC:6.3.4.4
tr|A0A1B1EFL7|A0A1B1EFL7_VIBNA	EC:1.17.99.6
tr|A0A1B1EFL9|A0A1B1EFL9_VIBNA	EC:2.1.1.207
tr|A0A1B1EFM3|A0A1B1EFM3_VIBNA	EC:1.8.1.2
tr|A0A1B1EFM8|A0A1B1EFM8_VIBNA	EC:4.2.1.2
tr|A0A1B1EFN0|A0A1B1EFN0_VIBNA	EC:4.2.1.11
tr|A0A1B1EFP2|A0A1B1EFP2_VIBNA	EC:2.7.1.71
tr|A0A1B1EFQ1|A0A1B1EFQ1_VIBNA	EC:1.8.1.8
tr|A0A1B1EFQ5|A0A1B1EFQ5_VIBNA	EC:4.2.1.10
tr|A0A1B1EFQ7|A0A1B1EFQ7_VIBNA	EC:6.2.1.1
tr|A0A1B1EFR8|A0A1B1EFR8_VIBNA	EC:1.3.1.98
tr|A0A1B1EFS3|A0A1B1EFS3_VIBNA	EC:4.1.1.37
tr|A0A1B1EFW2|A0A1B1EFW2_VIBNA	EC:3.4.21.88
tr|A0A1B1EFW8|A0A1B1EFW8_VIBNA	EC:2.5.1.7
tr|A0A1B1EFX0|A0A1B1EFX0_VIBNA	EC:2.5.1.61
tr|A0A1B1EFY1|A0A1B1EFY1_VIBNA	EC:3.6.4.13
tr|A0A1B1EFY4|A0A1B1EFY4_VIBNA	EC:5.1.1.7
tr|A0A1B1EG22|A0A1B1EG22_VIBNA	EC:4.1.99.17
tr|A0A1B1EG27|A0A1B1EG27_VIBNA	EC:6.3.4.18
tr|A0A1B1EG44|A0A1B1EG44_VIBNA	EC:4.2.3.4
tr|A0A1B1EG63|A0A1B1EG63_VIBNA	EC:3.6.3.14
tr|A0A1B1EG85|A0A1B1EG85_VIBNA	EC:3.1.1.85
tr|A0A1B1EG86|A0A1B1EG86_VIBNA	EC:4.2.1.9
tr|A0A1B1EGA7|A0A1B1EGA7_VIBNA	EC:4.1.1.65
tr|A0A1B1EGB6|A0A1B1EGB6_VIBNA	EC:1.3.3.3
tr|A0A1B1EGG7|A0A1B1EGG7_VIBNA	EC:3.6.1.22
tr|A0A1B1EGH9|A0A1B1EGH9_VIBNA	EC:2.7.1.48
tr|A0A1B1EGM8|A0A1B1EGM8_VIBNA	EC:4.1.1.20
tr|A0A1B1EGR9|A0A1B1EGR9_VIBNA	EC:4.2.1.10
tr|A0A1B1EGS5|A0A1B1EGS5_VIBNA	EC:1.1.1.25
tr|A0A1B1EGT0|A0A1B1EGT0_VIBNA	EC:2.4.1.129
tr|A0A1B1EGY3|A0A1B1EGY3_VIBNA	EC:1.9.6.1
tr|A0A1B1EGY5|A0A1B1EGY5_VIBNA	EC:2.8.1.10
tr|A0A1B1EGY8|A0A1B1EGY8_VIBNA	EC:3.4.11.4
tr|A0A1B1EH26|A0A1B1EH26_VIBNA	EC:4.1.99.12
tr|A0A1B1EH73|A0A1B1EH73_VIBNA	EC:3.5.4.2
tr|A0A1B1EH77|A0A1B1EH77_VIBNA	EC:4.2.1.49
tr|A0A1B1EHA9|A0A1B1EHA9_VIBNA	EC:3.6.4.13
tr|A0A1B1EHB0|A0A1B1EHB0_VIBNA	EC:2.7.11.33
tr|A0A1B1EHB0|A0A1B1EHB0_VIBNA	EC:2.7.4.28
tr|A0A1B1EHB6|A0A1B1EHB6_VIBNA	EC:6.1.1.1
tr|A0A1B1EHC6|A0A1B1EHC6_VIBNA	EC:6.3.4.4
tr|A0A1B1EHG3|A0A1B1EHG3_VIBNA	EC:5.3.3.2
tr|A0A1B1EHK9|A0A1B1EHK9_VIBNA	EC:1.8.4.12
tr|A0A1B1EHP7|A0A1B1EHP7_VIBNA	EC:2.7.1.50
tr|A0A1B1EHQ5|A0A1B1EHQ5_VIBNA	EC:2.5.1.3
tr|A0A1B1EHZ2|A0A1B1EHZ2_VIBNA	EC:1.4.3.5
tr|A0A1B1EI40|A0A1B1EI40_VIBNA	EC:1.11.1.21
tr|A0A1B1EI63|A0A1B1EI63_VIBNA	EC:3.5.99.6
tr|A0A1B1EIC6|A0A1B1EIC6_VIBNA	EC:2.4.1.18
tr|A0A1B1EID3|A0A1B1EID3_VIBNA	EC:2.3.1.29
tr|A0A1B1EIE1|A0A1B1EIE1_VIBNA	EC:2.7.1.35
tr|A0A1B1EIE8|A0A1B1EIE8_VIBNA	EC:2.4.1.129
tr|A0A1B1EIG4|A0A1B1EIG4_VIBNA	EC:2.4.2.1
tr|A0A1B1EIG6|A0A1B1EIG6_VIBNA	EC:1.1.1.103
tr|A0A1B1EIU1|A0A1B1EIU1_VIBNA	EC:6.3.1.5
tr|A0A1B1EJC3|A0A1B1EJC3_VIBNA	EC:3.6.3.14
tr|A0A1B1EJF9|A0A1B1EJF9_VIBNA	EC:2.7.1.6
tr|A0A1B1EJI4|A0A1B1EJI4_VIBNA	EC:3.5.2.3
tr|A0A1B1EJM9|A0A1B1EJM9_VIBNA	EC:2.7.2.1
tr|A0A1B1EJN5|A0A1B1EJN5_VIBNA	EC:3.6.4.13
tr|A0A1B1EJR1|A0A1B1EJR1_VIBNA	EC:2.1.2.1
tr|A0A1B1EJT9|A0A1B1EJT9_VIBNA	EC:1.9.3.1
tr|A0A1B1EJZ7|A0A1B1EJZ7_VIBNA	EC:2.1.2.1
tr|A0A1B1EK46|A0A1B1EK46_VIBNA	EC:2.7.7.27
tr|A0A1B1EK71|A0A1B1EK71_VIBNA	EC:1.3.1.9
tr|A0A1B1EKA3|A0A1B1EKA3_VIBNA	EC:6.3.2.4
tr|A0A1B1EKA9|A0A1B1EKA9_VIBNA	EC:5.3.1.25
tr|A0A1B1EKV8|A0A1B1EKV8_VIBNA	EC:1.11.1.21
tr|A0A1B1EL55|A0A1B1EL55_VIBNA	EC:1.2.1.8
tr|A0A1B1EL71|A0A1B1EL71_VIBNA	EC:2.3.1.180
tr|A0A1B1EL94|A0A1B1EL94_VIBNA	EC:1.18.6.1
tr|A0A1B1ELE3|A0A1B1ELE3_VIBNA	EC:3.1.3.11
tr|A0A1B1ELG7|A0A1B1ELG7_VIBNA	EC:1.2.1.8
tr|A0A1B1ELG7|A0A1B1ELG7_VIBNA	EC:1.1.99.1
tr|A0A1B1ELJ4|A0A1B1ELJ4_VIBNA	EC:2.3.1.193
tr|A0A6V7GRI0|A0A6V7GRI0_VIBNA	EC:5.99.1.3
tr|A0A1B1E847|A0A1B1E847_VIBNA	EC:6.1.1.14
tr|A0A1B1E888|A0A1B1E888_VIBNA	EC:4.2.1.12
tr|A0A1B1E891|A0A1B1E891_VIBNA	EC:6.1.1.14
tr|A0A1B1E8A3|A0A1B1E8A3_VIBNA	EC:2.7.1.191
tr|A0A1B1E8B4|A0A1B1E8B4_VIBNA	EC:2.1.1.242
tr|A0A1B1E8F0|A0A1B1E8F0_VIBNA	EC:1.8.1.7
tr|A0A1B1E8L5|A0A1B1E8L5_VIBNA	EC:2.1.1.34
tr|A0A1B1E8M8|A0A1B1E8M8_VIBNA	EC:2.7.7.6
tr|A0A1B1E8N1|A0A1B1E8N1_VIBNA	EC:3.6.4.12
tr|A0A1B1E8Q4|A0A1B1E8Q4_VIBNA	EC:6.3.1.2
tr|A0A1B1E8Q7|A0A1B1E8Q7_VIBNA	EC:3.1.7.2
