rhea,rheaDir,metacyc
14733,14734,3.6.3.53-RXN
14797,14798,DEOXYGLUCONOKIN-RXN
14805,14806,ALLOSE-KINASE-RXN
14877,14878,GLUTKIN-RXN
14905,14907,PRPPAMIDOTRANS-RXN
14961,14962,S-FORMYLGLUTATHIONE-HYDROLASE-RXN
14965,14966,ACYLPHOSPHATASE-RXN
14969,14970,RXN0-2441
15009,15011,DIHYDROFOLATEREDUCT-RXN
15017,15018,ACID-PHOSPHATASE-RXN
15017,15018,ALKAPHOSPHA-RXN
15045,15046,1.8.1.4-RXN
15045,15046,RXN-7716
15045,15046,RXN0-1132
15049,15050,GDP-GLUCOSIDASE-RXN
15101,15102,DIAMINOPIMDECARB-RXN
15117,15118,2.7.8.25-RXN
15149,15150,PNPOXI-RXN
15169,15170,SUCCGLUDESUCC-RXN
15177,15178,LYSOPHOSPHOLIPASE-RXN
15185,15186,ARGININE-N-SUCCINYLTRANSFERASE-RXN
15193,15194,DGTPTRIPHYDRO-RXN
15197,15198,2.1.1.72-RXN
15213,15215,RXN0-1147
15225,15226,DTDPGLUCOSEPP-RXN
15229,15230,2.7.7.13-RXN
15265,15266,PDXJ-RXN
15305,15306,BADH-RXN
15313,15314,ETHAMLY-RXN
15325,15326,RXN-1381
15329,15330,R165-RXN
15333,15334,R165-RXN
15329,15330,RXN0-7024
15377,15378,RXN0-5461
15381,15382,QUERCETIN-23-DIOXYGENASE-RXN
15389,15390,ADENYLATECYC-RXN
15405,15406,RXN1-42
15413,15414,LTARTDEHYDRA-RXN
15425,15426,HEMN-RXN
15469,15470,PRIBFAICARPISOM-RXN
15501,15503,GLUTAMATESYN-RXN
15557,15558,ABC-20-RXN
15577,15578,URIDINE-NUCLEOSIDASE-RXN
15613,15614,DIMETHUROPORDEHYDROG-RXN
15641,15642,OXALODECARB-RXN
15649,15650,RXN0-5222
15753,15754,ADENYLOSUCCINATE-SYNTHASE-RXN
15757,15759,HOMOSERDEHYDROG-RXN
15761,15763,HOMOSERDEHYDROG-RXN
15769,15770,COBINAMIDEKIN-RXN
15805,15806,DETHIOBIOTIN-SYN-RXN
15817,15818,PMPOXI-RXN
15841,15842,GLU6PDEHYDROG-RXN
15889,15890,GLUTAMIN-RXN
15909,15910,RXN0-299
15913,15914,THI-P-KIN-RXN
15937,15939,ALCOHOL-DEHYDROGENASE-NADPORNOP%2b-RXN
15941,15942,ACETYLORNDEACET-RXN
15957,15958,ALTRODEHYDRAT-RXN
15981,15982,SAMDECARB-RXN
16005,16006,GALACTARDEHYDRA-RXN
16013,16014,GLYCINE--TRNA-LIGASE-RXN
16049,16050,COBALAMINSYN-RXN
16069,16070,CYTIDEAM2-RXN
16089,16090,RXN-7948
16105,16107,ENOYL-COA-HYDRAT-RXN
16109,16110,6PFRUCTPHOS-RXN
16125,16126,FRUCTOKINASE-RXN
16153,16154,AMINEOXID-RXN
16169,16170,GLUTAMINESYN-RXN
16201,16202,ADCLY-RXN
16229,16230,CDPDIGLYSYN-RXN
16233,16235,2-DEHYDROPANTOATE-REDUCT-RXN
16333,16334,2.7.7.61-RXN
16369,16371,DLACTDEHYDROGNAD-RXN
16373,16374,PANTOTHENATE-KIN-RXN
16417,16418,PYRROLINECARBDEHYDROG-RXN
16429,16430,UDP-NACMURALA-GLU-LIG-RXN
16441,16442,CHEBDEAMID-RXN
16497,16498,RXN-11596
16505,16506,CHORPYRLY-RXN
16517,16519,AMINOPROPDEHYDROG-RXN
16521,16523,FERREDOXIN--NAD%2b-REDUCTASE-RXN
16525,16526,DEHYDDEOXGALACTKIN-RXN
16585,16586,RXN0-949
16597,16598,RXN-14325
16609,16611,ADENPRIBOSYLTRAN-RXN
16613,16614,ARYLAMINE-N-ACETYLTRANSFERASE-RXN
16653,16655,1.1.1.215-RXN
16657,16658,INOSINE-NUCLEOSIDASE-RXN
16669,16670,RXN0-901
16689,16690,RXN66-526
16777,16778,TRANS-RXN-2
16781,16782,ACYL-COA-HYDROLASE-RXN
16793,16794,P-PANTOCYSDECARB-RXN
16825,16826,URIDINEKIN-RXN
16833,16834,GLUTATHIONE-PEROXIDASE-RXN
16845,16846,CITSYN-RXN
16853,16854,AMPSYN-RXN
16881,16882,THIOSULFATE-SULFURTRANSFERASE-RXN
16945,16946,GCVT-RXN
16969,16970,DTDPDEHYDRHAMEPIM-RXN
16989,16990,RXN0-1001
17009,17010,O-SUCCINYLBENZOATE-COA-LIG-RXN
17017,17019,RXN0-1133
17029,17030,ALLANTOINASE-RXN
17089,17090,KDPGALDOL-RXN
17097,17098,PHENYLPYRUVATE-TAUTOMERASE-RXN
17105,17106,RXN-11475
34899,34900,RXN-11475
17129,17130,FGAMSYN-RXN
17173,17174,GSPAMID-RXN
17185,17187,GMP-REDUCT-RXN
17221,17222,DTDPGLUCDEHYDRAT-RXN
17249,17250,RXN-15293
17261,17262,ARYLSULFAT-RXN
17277,17278,PGLUCONDEHYDRAT-RXN
17313,17314,HISTIDINE--TRNA-LIGASE-RXN
17325,17326,TETHYDPICSUCC-RXN
17397,17399,3-OXOACYL-ACP-REDUCT-RXN
17417,17418,N-ACETYLGLUCOSAMINE-KINASE-RXN
17441,17442,CYSTEINE-AMINOTRANSFERASE-RXN
17453,17454,GLYRIBONUCSYN-RXN
17457,17458,RXN0-308
17577,17578,5.1.3.20-RXN
17633,17634,BETA-GLUCURONID-RXN
17641,17642,ARGDECARBOX-RXN
17665,17666,RXN0-947
17725,17726,2-METHYLCITRATE-DEHYDRATASE-RXN
17737,17738,RXN-11174
17741,17742,RXN-11174
17737,17739,SHIKIMATE-5-DEHYDROGENASE-RXN
17753,17754,RIBOSYLHOMOCYSTEINASE-RXN
17773,17774,CYSTEINE--TRNA-LIGASE-RXN
17785,17786,GLUTDECARBOX-RXN
17805,17806,ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN
17817,17818,UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN
17825,17826,GLUCOKIN-RXN
17845,17847,RIBOFLAVINSYNREDUC-RXN
17865,17867,1.5.1.34-RXN
17869,17871,1.5.1.34-RXN
17873,17874,ABC-5-RXN
17937,17938,METHGLYSYN-RXN
17973,17975,HYPOXANPRIBOSYLTRAN-RXN
17989,17990,PROTEIN-KINASE-RXN
46608,46609,PROTEIN-KINASE-RXN
18073,18074,RXN0-6491
28691,28692,RXN0-6491
18113,18114,NUCLEOSIDE-DIP-KIN-RXN
44640,44641,NUCLEOSIDE-DIP-KIN-RXN
18157,18159,PEPDEPHOS-RXN
18181,18182,MALSYN-RXN
18245,18246,DEPHOSPHOCOAKIN-RXN
18253,18254,MALIC-NADP-RXN
18257,18258,RXN0-1461
18301,18302,GMP-SYN-NH3-RXN
18365,18366,1.1.1.83-RXN
18381,18382,2.7.1.121-RXN
18425,18426,QUINATE-5-DEHYDROGENASE-RXN
22364,22365,QUINATE-5-DEHYDROGENASE-RXN
18437,18438,2.7.1.148-RXN
18457,18458,DIOHBUTANONEPSYN-RXN
18489,18490,R524-RXN
18497,18499,LXULRU5P-RXN
18589,18590,GSADENYLATION-RXN
18617,18618,PEPCARBOXYKIN-RXN
18629,18630,NAD-KIN-RXN
18633,18634,CARBPSYN-RXN
18649,18650,GALACTONDEHYDRAT-RXN
18657,18659,RXN0-300
18669,18670,ADENOSINE-NUCLEOSIDASE-RXN
18681,18682,UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN
18689,18690,PHOSPHOLIPASE-A1-RXN
18737,18738,2.7.9.3-RXN
18805,18806,RXN0-7310
18829,18830,ERYTHRON4PDEHYDROG-RXN
18841,18843,TSA-REDUCT-RXN
18845,18847,TSA-REDUCT-RXN
18869,18870,LYXK-RXN
18885,18887,1.1.1.271-RXN
18889,18890,TREHALOSE6PSYN-RXN
19069,19071,GLYOXI-RXN
19089,19090,UROPORIIIMETHYLTRANSA-RXN
19105,19106,AMINOBUTDEHYDROG-RXN
19129,19130,THYKI-RXN
19169,19170,4.3.1.17-RXN
19185,19186,HYDGLUTSYN-RXN
19189,19190,RXN0-1134
19317,19318,RXN0-742
19333,19334,OXALYL-COA-DECARBOXYLASE-RXN
19361,19362,FPPSYN-RXN
19377,19379,NADPH-DEHYDROGENASE-FLAVIN-RXN
19377,19379,RXN-12445
31455,31457,RXN-12445
19397,19398,P-PANTOCYSLIG-RXN
19409,19410,7-ALPHA-HYDROXYSTEROID-DEH-RXN
19413,19414,PHENYLALANINE--TRNA-LIGASE-RXN
19433,19434,GLUCONOKIN-RXN
19465,19466,R621-RXN
19469,19470,R621-RXN
19481,19483,RXN-3641
19497,19498,ASPDECARBOX-RXN
19533,19534,SUCCARGDIHYDRO-RXN
19541,19543,GLUTSEMIALDEHYDROG-RXN
19553,19554,TRYPTOPHAN-RXN
19569,19570,RXN0-5144
19609,19610,RXN-11633
19621,19622,CYCPHOSDIESTER-RXN
19625,19626,THREONINE-ALDOLASE-RXN
19649,19650,ASPARTATE--TRNA-LIGASE-RXN
19669,19670,RXN0-5462
19709,19710,RXN-1623
19737,19738,RXN0-3942
19801,19802,PANTEPADENYLYLTRAN-RXN
19833,19834,FORMYLTHFDEFORMYL-RXN
19865,19866,UROGENDECARBOX-RXN
19889,19890,GLUC1PURIDYLTRANS-RXN
19893,19894,PYRIMSYN3-RXN
19929,19930,CELLULOSE-SYNTHASE-UDP-FORMING-RXN
19933,19934,GLUCOSE-1-PHOSPHAT-RXN
19949,19950,H2PTEROATESYNTH-RXN
19981,19982,RXN-2962
19985,19986,RXN-2962
19993,19995,1.8.4.13-RXN
19997,19998,PHOSPHOENOLPYRUVATE-PHOSPHATASE-RXN
20001,20002,GLYCOLALD-DEHYDROG-RXN
20013,20014,ASPCARBTRANS-RXN
20049,20050,HISTCYCLOHYD-RXN
20077,20078,2.1.1.34-RXN
20097,20098,MANNONDEHYDRAT-RXN
20117,20118,RHAMNULOKIN-RXN
20121,20122,GLUTAMINE--TRNA-LIGASE-RXN
20129,20130,AMP-NUCLEOSID-RXN
20221,20222,FORMATETHFLIG-RXN
20229,20230,DHBAMPLIG-RXN
20301,20302,ARGININE--TRNA-LIGASE-RXN
20309,20310,CATAL-RXN
20345,20347,THIOREDOXIN-REDUCT-NADPH-RXN
20357,20358,HCAMULTI-RXN
20373,20374,PROPIONATE--COA-LIGASE-RXN
20393,20394,2.3.1.49-RXN
20397,20398,O-SUCCHOMOSERLYASE-RXN
20401,20402,BETA-LACTAMASE-RXN
20473,20474,RXN-8655
20533,20534,3.1.3.74-RXN
20537,20538,3.1.4.14-RXN
20605,20606,CYTDEAM-RXN
20621,20622,RXN0-5205
20629,20630,3.1.3.16-RXN
47004,47005,3.1.3.16-RXN
20641,20642,RXN-8001
20661,20662,3.4.13.22-RXN
20696,20697,SUPEROX-DISMUT-RXN
20700,20701,TETRAACYLDISACC4KIN-RXN
20712,20713,7KAPSYN-RXN
20772,20773,RIBOFLAVIN-SYN-RXN
20792,20793,LYSINE--TRNA-LIGASE-RXN
20828,20829,PHOSPHASERDECARB-RXN
20956,20957,RXN-10819
21016,21017,ASPARAGHYD-RXN
21020,21021,CHORISMATE-SYNTHASE-RXN
21080,21081,S-ADENMETSYN-RXN
21140,21141,INOSINEKIN-RXN
21164,21165,CARBOXYLESTERASE-RXN
21172,21173,1.1.1.264-RXN
21176,21177,1.1.1.264-RXN
21188,21189,NAD-SYNTH-NH3-RXN
21208,21209,RXN0-5114
21260,21262,1.8.4.14-RXN
21264,21265,GLYCOLATEDEHYDRO-RXN
21272,21273,GSPSYN-RXN
21360,21361,2.7.7.1-RXN
21392,21393,PHENDEHYD-RXN
21524,21525,2-ISOPROPYLMALATESYN-RXN
21528,21529,EXOPOLYPHOSPHATASE-RXN
21540,21541,PRAISOM-RXN
21564,21566,KETOACYLCOATHIOL-RXN
21596,21597,RXN0-2201
21620,21622,FMNREDUCT-RXN
21624,21626,FMNREDUCT-RXN
21624,21626,RXN-12444
21644,21645,GLYCEROL-KIN-RXN
21648,21649,PREPHENATEDEHYDRAT-RXN
21664,21665,4-NITROPHENYLPHOSPHATASE-RXN
21668,21669,ABC-34-RXN
21732,21733,ANTHRANSYN-RXN
21740,21741,MERCAPYSTRANS-RXN
21748,21750,1.1.1.283-RXN
21820,21821,HOMOCYSTEINE-S-METHYLTRANSFERASE-RXN
21868,21869,RIBOFLAVINSYNDEAM-RXN
21924,21926,RXN0-703
21968,21969,3-DEHYDROQUINATE-SYNTHASE-RXN
21972,21973,RXN-8675
22008,22009,HOMSUCTRAN-RXN
22016,22017,RXN-982
22020,22021,ABC-19-RXN
22052,22054,HYDROXYLAMINE-REDUCTASE-RXN
22060,22061,2.8.1.6-RXN
22072,22073,RXN0-5116
22084,22085,4.3.1.15-RXN
22088,22089,GTPPYPHOSKIN-RXN
22108,22109,THREDEHYD-RXN
22132,22133,ABC-16-RXN
22140,22141,RXN-14473
22152,22153,RXN0-6373
22156,22157,GUANOSINE-DIPHOSPHATASE-RXN
22236,22237,3.1.3.68-RXN
22328,22329,THI-P-SYN-RXN
22352,22353,LYSDECARBOX-RXN
22376,22377,TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN
22408,22409,GPPSYN-RXN
22432,22433,OHACYL-COA-DEHYDROG-RXN
22448,22449,PSEUDOURIDINE-KINASE-RXN
22488,22489,RXN-2961
22508,22509,DNA-DIRECTED-DNA-POLYMERASE-RXN
22564,22566,ENOYL-ACP-REDUCT-NADPH-RXN
22580,22582,2-OXOPENT-4-ENOATE-HYDRATASE-RXN
22608,22609,SUCCDIAMINOPIMDESUCC-RXN
22628,22629,SAICARSYN-RXN
22636,22637,DCTP-PYROPHOSPHATASE-RXN
22668,22669,LIPIDADISACCHARIDESYNTH-RXN
22680,22681,DCTP-DEAM-RXN
22712,22713,COBINPGUANYLYLTRANS-RXN
22720,22721,2.7.13.1-RXN
22728,22729,2.9.1.1-RXN
22828,22829,HISTPRATPHYD-RXN
22836,22837,3-OXOACYL-ACP-SYNTH-RXN
22860,22861,NICONUCADENYLYLTRAN-RXN
22936,22937,NAG6PDEACET-RXN
22948,22949,TAGAALDOL-RXN
22964,22965,ORNDECARBOX-RXN
22984,22986,OXAMATE-CARBAMOYLTRANSFERASE-RXN
22996,22997,RXN-12440
23008,23009,TRE6PHYDRO-RXN
23032,23033,AIRS-RXN
23064,23065,RXN0-280
23080,23081,L-RHAMNONATE-DEHYDRATASE-RXN
23096,23097,OHMETPYRKIN-RXN
23120,23121,ABC-8-RXN
23140,23141,NMNNUCLEOSID-RXN
23152,23153,RXN0-5330
23176,23177,ACETATE--COA-LIGASE-RXN
23236,23237,MCPMETEST-RXN
23252,23254,RIBONUCLEOSIDE-DIP-REDUCTI-RXN
23296,23297,RXN0-7390
23372,23373,UDP-NACMUR-ALA-LIG-RXN
23420,23421,TREHALOSEPHOSPHA-RXN
23448,23449,CPM-KDOSYNTH-RXN
23476,23477,IGPSYN-RXN
23516,23517,GLY3KIN-RXN
23540,23541,GLURS-RXN
23548,23549,RXN0-6515
23560,23561,COBALAMIN5PSYN-RXN
23584,23585,DIHYDROFOLATESYNTH-RXN
23596,23597,UGD-RXN
23624,23626,RXN0-1281
23676,23677,UDP-NACMURALGLDAPLIG-RXN
23688,23689,ADENINE-DEAMINASE-RXN
23704,23705,GTP-CYCLOHYDRO-II-RXN
24898,24899,GTP-CYCLOHYDRO-II-RXN
23720,23721,PROPIONYL-COA-CARBOXY-RXN
23776,23777,ASPARTATEKIN-RXN
23780,23781,2-METHYLCITRATE-SYNTHASE-RXN
23788,23789,CITC-RXN
23820,23821,GDPMANDEHYDRA-RXN
23824,23825,DHBDEHYD-RXN
23828,23830,1.1.1.274-RXN
23840,23841,1.13.11.16-RXN
23864,23865,RXN0-302
23920,23921,AICARSYN-RXN
23936,23938,GLUCONATE-5-DEHYDROGENASE-RXN
23940,23942,GLUCONATE-5-DEHYDROGENASE-RXN
23948,23950,4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN
23976,23977,RNA-3-PHOSPHATE-CYCLASE-RXN
44644,44645,NUCLEOTIDE-PYROPHOSPHATASE-RXN
23996,23997,NUCLEOTIDE-PYROPHOSPHATASE-RXN
24000,24001,2.1.1.63-RXN
24064,24065,PORPHOBILSYNTH-RXN
24080,24081,TRYPTOPHAN--TRNA-LIGASE-RXN
24104,24105,RXN0-1321
24140,24141,RXN-11588
24152,24153,ADENYLYLSULFKIN-RXN
24176,24177,RXN-18388
24212,24213,THIAZOLSYN3-RXN
24236,24238,1.7.2.3-RXN
24252,24253,3.6.1.41-RXN
24360,24361,SIROHEME-FERROCHELAT-RXN
24380,24381,METHIONYL-TRNA-FORMYLTRANSFERASE-RXN
24384,24385,NAD-SYNTH-GLN-RXN
24400,24401,RXN-12002
24408,24409,ADENODEAMIN-RXN
24420,24421,3.5.1.88-RXN
24440,24441,ABC-27-RXN
24452,24453,CHER-RXN
24456,24457,RXN-16788
24488,24490,ISPH2-RXN
24560,24561,SERINE-O-ACETTRAN-RXN
24576,24577,INORGPYROPHOSPHAT-RXN
24624,24625,THREONINE--TRNA-LIGASE-RXN
24628,24630,RXN-13854
24670,24671,RXN-7682
24674,24675,CYTIKIN-RXN
24698,24699,RXN-16286
24702,24703,RXN0-1861
24706,24707,RXN0-1862
24785,24786,MHPHYDROXY-RXN
34187,34188,MHPCHYDROL-RXN
24793,24795,GLUTAMIDOTRANS-RXN
24809,24810,DIHYDROXYISOVALDEHYDRAT-RXN
24825,24827,RXN0-884
24829,24830,GARTRANSFORMYL2-RXN
24840,24841,PYRIMSYN1-RXN
24902,24903,RXN0-4181
24931,24932,LCYSDESULF-RXN
24952,24953,RXN0-4621
25046,25047,RXN-12070
34191,34192,RXN-12070
25054,25055,RXN-12073
25058,25059,RXN-12072
25062,25063,PHENPRODIOLDEHYDROG-RXN
25066,25067,RXN-12071
25078,25079,RXN-7800
25094,25095,RXN-7913
25098,25099,UDPKIN-RXN
25104,25105,PYRAMKIN-RXN
25108,25109,PNKIN-RXN
25112,25113,RXN-14181
25197,25198,RIBOPHOSPHAT-RXN
25209,25210,UDPACYLGLCNACDEACETYL-RXN
25213,25214,LIPIDXSYNTHESIS-RXN
25237,25238,CDPKIN-RXN
25241,25242,URUR-RXN
25249,25250,ACETOLACTSYN-RXN
25253,25254,NANK-RXN
25277,25278,RXN0-5038
25298,25299,RXN0-3962
25302,25303,H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN
25306,25308,DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN
25424,25426,GUANPRIBOSYLTRAN-RXN
25576,25577,PROTOPORGENOXI-RXN
25593,25594,2.5.1.64-RXN
25597,25598,RXN-9310
25653,25654,THREOSPON-RXN
25792,25793,RXN-14455
25876,25877,L-ASPARTATE-OXID-RXN
25888,25889,QUINOLINATE-SYNTHA-RXN
26209,26210,LTAA-RXN
26309,26310,RXN-9311
26333,26334,RXN-8342
26337,26338,MMUM-RXN
26361,26362,RXN-11319
26426,26427,CTPSYN-RXN
26434,26435,RXN0-2382
26438,26440,RXN-8974
26482,26483,RXN0-6274
26562,26563,NAPHTHOATE-SYN-RXN
27290,27291,RXN0-3281
27377,27378,GKI-RXN
27405,27406,RXN-11496
27409,27410,RXN0-6259
27449,27450,RXN-11277
27465,27466,RXN0-4342
27473,27474,RXN0-4341
27485,27486,ALLANTOATE-DEIMINASE-RXN
27489,27490,RXN0-4301
27551,27552,RXN-8999
27610,27611,FHLMULTI-RXN
27634,27636,YIAE1-RXN
