rhea,name
14961,S-formylglutathione hydrolase
30779,D-gluconate:(acceptor) 2-oxidoreductase
27826,O4-succinyl-L-homoserine:hydrogen sulfide S-(3-amino-3-carboxypropyl)transferase
17905,D-glycerate:NAD+ 2-oxidoreductase
31171,(S)-3-hydroxytetradecanoyl-CoA hydro-lyase
13161,L-threonine:NAD+ oxidoreductase
23352,4-aminobutanoate:2-oxoglutarate aminotransferase
24408,adenosine aminohydrolase
13897,chorismate pyruvatemutase
54936,decanoyl-[acp]:NAD+ trans-2-oxidoreductase
20569,L-arginine amidinohydrolase
10912,(R)-pantoate:beta-alanine ligase (AMP-forming)
12973,ATP:AMP phosphotransferase
17649,acetyl-[acyl-carrier-protein]: malonate S-[acyl-carrier-protein]transferase
20736,acetyl-CoA:glycine C-acetyltransferase
22624,4-hydroxy-2-oxopentanoate pyruvate-lyase (acetaldehyde-forming)
31143,(S)-hydroxyhexanoyl-CoA:NAD+ oxidoreductase
12460,(S)-malate hydro-lyase (fumarate-forming)
70295,3-sulfino-L-alanine:2-oxoglutarate aminotransferase
14329,3-phosphoserine:2-oxoglutarate aminotransferase
41860,(3R)-3-hydroxydecanoyl-[acyl-carrier-protein] hydro-lyase
41912,hexadecanoyl-[acp]:NAD+ trans-2-oxidoreductase
17801,acetyl-CoA:L-phenylalanine N-acetyltransferase
20309,hydrogen-peroxide:hydrogen-peroxide oxidoreductase
11364,"ATP:pyruvate,water phosphotransferase"
29355,2'-deoxyuridine 5'-monophosphate phosphohydrolase
20117,ATP:L-xylulose 1-phosphotransferase
15393,"LL-2,6-diaminoheptanedioate 2-epimerase"
20712,pimeloyl-CoA:L-alanine C-carboxyhexanoyltransferase (decarboxylating)
13553,ATP:alpha-D-galactose 1-phosphotransferase
20129,AMP phosphoribohydrolase
30751,palmitate:CoA ligase (AMP-forming)
30791,dGTP:pyruvate 2-O-phosphotransferase
16069,cytidine aminohydrolase
16197,(S)-3-hydroxybutanoyl-CoA:NADP+ oxidoreductase
19105,4-aminobutanal:NAD+ 1-oxidoreductase
28026,2'-deoxyuridine 5'-diphosphate:oxidized-thioredoxin 2'-oxidoreductase
19661,D-mannitol-1-phosphate:NAD+ 5-oxidoreductase
12536,L-arogenate hydro-lyase (decarboxylating L-phenylalanine-forming)
25054,"(2E)-3-(2,3-dihydroxyphenyl)prop-2-enoate:oxygen 1,2-oxidoreductase (decyclizing)"
23448,CTP:3-deoxy-D-manno-octulosonate cytidylyltransferase
15641,oxaloacetate carboxy-lyase (pyruvate-forming)
24404,(S)-3-hydroxy-3-methylglutaryl-CoA acetoacetate-lyase (acetyl-CoA-forming)
28034,2'-deoxyadenosine 5'-diphosphate:oxidized-thioredoxin 2'-oxidoreductase
25298,acetaldehyde:NADP+ oxidoreductase
31203,hexanoyl-CoA:acetyl-CoA C-acyltransferase
17805,S-adenosyl-L-homocysteine homocysteinylribohydrolase
41888,(3R)-3-hydroxytetradecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase
30787,"L-phenylalanine,tetrahydrobiopterin:oxygen oxidoreductase (4-hydroxylating)"
16249,alpha-D-glucose 6-phosphate ketol-isomerase
31183,decanoyl-CoA:acetyl-CoA C-acyltransferase
29375,adenosine 5'-monophosphate phosphohydrolase
61092,N-acetyl-L-citrulline amidohydrolase
22144,isocitrate hydro-lyase (cis-aconitate-forming)
16597,UTP:ammonia ligase (ADP-forming)
29391,GTP diphosphohydrolase (diphosphate-forming)
28582,ATP:dUDP phosphotransferase
22824,deoxyuridine:orthophosphate 2-deoxy-D-ribosyltransferase
14629,ATP:N-acetyl-L-glutamate 5-phosphotransferase
41856,(3R)-3-hydroxydecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase
13929,agmatine amidinohydrolase
16913,CDP-diacylglycerol:L-serine 3-phosphatidyltransferase
14109,trans-4-hydroxy-L-proline:NADP+ 5-oxidoreductase
22580,4-hydroxy-2-oxopentanoate hydro-lyase (2-oxopent-4-enoate-forming)
45332,"7,8-dihydroneopterin:oxygen oxidoreductase"
22924,dCMP aminohydrolase
27822,O-acetyl-L-homoserine:hydrogen sulfide S-(3-amino-3-carboxypropyl)transferase
31195,(S)-hydroxyoctanoyl-CoA:NAD+ oxidoreductase
11824,"5,10-methylenetetrahydrofolate:3-methyl-2-oxobutanoate hydroxymethyltransferase"
31159,(S)-3-hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase
15753,IMP:L-aspartate ligase (GDP-forming)
12733,nicotinate-nucleotide:pyrophosphate phosphoribosyltransferase (carboxylating)
27377,ATP:(R)-glycerate 2-phosphotransferase
72075,gamma-L-glutamyl-L-2-aminobutyrate:glycine ligase (ADP-forming)
13509,UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase
14821,L-arabinose aldose-ketose-isomerase
12556,"6-phospho-D-glucono-1,5-lactone lactonohydrolase"
25588,isocitrate:NADP+ oxidoreductase
22284,N-carbamoylputrescine amidohydrolase
30935,nicotinate D-ribonucleotide phosphohydrolase
13325,UDP-N-acetyl-D-glucosamine:NAD+ 6-oxidoreductase
13849,D-arabinose aldose-ketose-isomerase
19497,L-aspartate 1-carboxy-lyase (beta-alanine-forming)
16233,(R)-pantoate:NADP+ 2-oxidoreductase
14357,ATP:riboflavin 5'-phosphotransferase
18829,4-phospho-D-erythronate:NAD+ 2-oxidoreductase
27886,"2',3'-cyclic AMP 3'-nucleotidohydrolase"
22608,"N-succinyl-LL-2,6-diaminoheptanedioate amidohydrolase"
23100,ATP:dAMP phosphotransferase
23536,"alpha-D-glucose 1,6-phosphomutase"
52304,ectoine aminohydrolase
23920,1-(5'-phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole AMP-lyase
23660,4-imidazolone-5-propanoate amidohydrolase
30943,octanoyl-CoA:electron-transfer flavoprotein 2-oxidoreductase
41528,octanoyl-[acp]:NAD+ trans-2-oxidoreductase
17053,sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase
30931,O-acetyl-L-homoserine succinate-lyase (adding cysteine)
17237,ATP:FMN adenylyltransferase
17785,L-glutamate 1-carboxy-lyase (4-aminobutanoate-forming)
25209,UDP-3-O-[(3R)-3-hydroxymyristoyl]-N-acetylglucosamine amidohydrolase
10248,dUTP nucleotidohydrolase
15093,L-tyrosine:2-oxoglutarate aminotransferase
20249,alanine racemase
30759,5-methylcytosine aminohydrolase
77643,"adenosine-3',5'-bisphosphate 3'-phosphohydrolase"
19513,carbamoyl-phosphate:L-ornithine carbamoyltransferase
40663,L-serine hydro-lyase
11080,thymidylate 5'-phosphohydrolase
17233,L-fucose aldose-ketose-isomerase
21824,L-cysteine:2-oxoglutarate aminotransferase
31755,2-oxepin-2(3H)-ylideneacetyl-CoA hydrolyase
21432,(S)-malate:NAD+ oxidoreductase
22628,1-(5-phosphoribosyl)-5-amino-4-carboxyimidazole:L-aspartate ligase (ADP-forming)
30731,"butanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"
30799,(S)-3-hydroxybutanoyl-CoA:NAD+ oxidoreductase
23744,5-amino-2-oxopentanoate:2-oxoglutarate aminotransferase
23676,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:(L)-meso-2,6-diaminoheptanedioate gamma-ligase (ADP-forming)"
19821,5-methyltetrahydrofolate:NAD+ oxidoreductase
51628,UTP:formate 2'-oxidoreductase
42424,2-methylmaleate hydratase
28354,"decanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"
24488,isopentenyl-diphosphate:ferredoxin oxidoreductase
13985,ATP:L-homoserine O-phosphotransferase
32287,"(2R,3S)-3-isopropylmalate hydro-lyase (2-isopropylmaleate-forming)"
18633,"HCO3-:L-glutamine amido-ligase (ADP-forming, carbamate-phosphorylating)"
20049,"1-(5-phospho-D-ribosyl)-AMP 1,6-hydrolase"
20780,ATP:GMP phosphotransferase
25181,acetyl-CoA:putrescine N-acetyltransferase
33867,(S)-ureidoglycine:glyoxylate aminotransferase
19521,acetyl-CoA:phosphate acetyltransferase
14245,ATP diphosphohydrolase (diphosphate-forming)
13285,L-glutamate:L-cysteine gamma-ligase (ADP-forming)
12641,3-phospho-D-glycerate:NAD+ 2-oxidoreductase
31135,1-(5'-phosphoribosyl)-5-amino-4-imidazolecarboxamide:pyrophosphate phosphoribosyltransferase
15941,N2-acetyl-L-ornithine amidohydrolase
27890,uridine 3'-monophosphate phosphohydrolase
31087,octanoyl-CoA:acetyl-CoA C-acyltransferase
16169,L-glutamate:ammonia ligase (ADP-forming)
26558,(S)-3-hydroxybutanoyl-CoA hydro-lyase
41820,butyryl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)
27742,deoxyadenosine:orthophosphate ribosyltransferase
24384,deamido-NAD+:L-glutamine amido-ligase (AMP-forming)
15757,L-homoserine:NAD+ oxidoreductase
10748,carbonate hydro-lyase (carbon-dioxide-forming)
22812,"5,10-methylenetetrahydrofolate:NADP+ oxidoreductase"
25277,"adenosine 3',5'-phosphate 5'-nucleotidohydrolase"
11596,orotidine-5'-phosphate carboxy-lyase (UMP-forming)
24020,2-(Nomega-L-arginino)succinate arginine-lyase (fumarate-forming)
14081,"(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate D-glyceraldehyde-3-phosphate-lyase"
10804,allantoin racemase
27682,ATP:dTDP phosphotransferase
24204,"acetyl-phosphate:sulfite S-acetyltransferase (acyl-phosphate hydrolysing, 2-oxoethyl-forming)"
23596,UDP-glucose:NAD+ 6-oxidoreductase
18965,hydroxymethylbilane hydro-lyase(cyclizing)
24576,diphosphate phosphohydrolase
15989,(R)-mevalonate:NADP+ oxidoreductase (CoA acylating)
12056,D-erythrose 4-phosphate:NAD+ oxidoreductase
11680,xanthosine-5'-phosphate:L-glutamine amido-ligase (AMP-forming)
10812,N-succinyl-L-glutamate 5-semialdehyde:NAD+ oxidoreductase
23800,L-methionine methanethiol-lyase (deaminating2-oxobutanoate-forming)
17769,"choline,reduced-ferredoxin:oxygen oxidoreductase"
70223,2-aminobutanoate:2-oxoglutarate aminotransferase
25152,L-phenylalanine:2-oxoglutarate aminotransferase
13677,D-ribulose-5-phosphate 3-epimerase
18617,ATP:oxaloacetate carboxy-lyase (transphosphorylatingphosphoenolpyruvate-forming)
10532,L-serine hydro-lyase [adding 1-C-(indol-3-yl)glycerol 3-phosphate L-tryptophan and glyceraldehyde-3-phosphate-forming]
20345,NADPH:oxidized-thioredoxin oxidoreductase
23864,2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol CMP-lyase (cyclizing)
19597,L-arginine iminohydrolase
21868,"2,5-diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase"
12909,ferrocytochrome:nitrate oxidoreductase
28406,xanthosine 5'-triphosphate phosphohydrolase
28094,undecaprenyl-diphosphate phosphohydrolase
16037,thymidine:phosphate deoxy-alpha-D-ribosyltransferase
22712,GTP:adenosylcobinamide-phosphate guanylyltransferase
10540,"7,8-dihydroneopterin glycolaldehyde-lyase [6-(hydroxymethyl)-7,8-dihydropterin-forming]"
25237,ATP:CDP phosphotransferase
12104,"5,10-methylenetetrahydrofolate:dUMP C-methyltransferase"
22368,L-ribulose-5-phosphate 4-epimerase
30815,nicotinamide ribonucleotide phosphohydrolase
17973,IMP:diphosphate phospho-D-ribosyltransferase
25213,"UDP-2,3-bis[(3R)-3-hydroxymyristoyl]-alpha-D-glucosamine 2,3-bis[(3R)-3-hydroxymyristoyl]-beta-D-glucosaminyl 1-phosphate phosphohydrolase"
13493,"(R)-2,3-dihydroxy-3-methylpentanoate:NADP+ oxidoreductase (isomerizing)"
19125,L-serine:glyoxylate aminotransferase
22060,dethiobiotin:sulfur sulfurtransferase
16201,4-amino-4-deoxychorismate pyruvate-lyase
27862,guanosine 3'-phosphate phosphohydrolase
24064,5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing porphobilinogen-forming)
38215,beta-D-glucose-6-phosphate:NAD+ 1-oxidoreductase
52540,cytidine:orthophosphate alpha-D-ribosyltransferase
26426,UTP:L-glutamine amido-ligase (ADP-forming)
22168,UDP-glucose 4-epimerase
13065,ATP phosphohydrolase
26434,L-serine hydro-lyase (adding indole L-tryptophan-forming)
21620,FMNH2:NAD+ oxidoreductase
22988,"3-oxopropanoate:NADP+ oxidoreductase (decarboxylating, CoA-acetylating)"
18181,"acetyl-CoA:glyoxylate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)"
30655,ATP:dUMP phosphotransferase
31199,(S)-hydroxyoctanoyl-CoA hydro-lyase
23704,"GTP 7,8-8,9-dihydrolase (diphosphate-forming)"
31187,"(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA:NAD+ oxidoreductase"
11708,IMP:NAD+ oxidoreductase
21188,deamido-NAD+:ammonia ligase (AMP-forming)
18793,"D-ribose 1,5-phosphomutase"
31091,lauroyl-CoA:acetyl-CoA C-acyltransferase
15425,coproporphyrinogen-III:S-adenosyl-L-methionine oxidoreductase(decarboxylating)
28330,ITP phosphohydrolase
30699,beta-alanine:2-oxoglutarate aminotransferase
12400,nicotinamide-D-ribonucleotide amidohydrolase
26209,L-allo-threonine acetaldehyde-lyase (glycine-forming)
41884,dodecanoyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)
12228,L-aspartate:L-glutamine amido-ligase (AMP-forming)
15389,"ATP diphosphate-lyase (cyclizing 3',5'-cyclic-AMP-forming)"
14077,L-alanine:3-oxopropanoate aminotransferase
30347,ATP:IDP phosphotransferase
25302,"7,8-dihydroneopterin 3'-triphosphate diphosphohydrolase"
42700,pimeloyl-[acyl-carrier protein]-methyl-ester hydrolase
24793,5-[(5-phospho-1-deoxy-D-ribulos-1-ylamino)methylideneamino]-1-(5-phospho-beta-D-ribosyl)imidazole-4-carboxamide D-erythro-1-(imidazol-4-yl)glycerol 3-phosphate-lyase (L-glutamine-hydrolysing 5-amino-1-(5-phospho-beta-D-ribosyl)imidazole-4-carboxamide-forming)
21644,ATP:glycerol 3-phosphotransferase
24284,L-aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating)
19069,(R)-S-lactoylglutathione methylglyoxal-lyase (isomerizing)
18437,ATP:4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol 2-phosphotransferase
28807,glutathione gamma-glutamylaminopeptidase
22992,"3-oxopropanoate:NAD+ oxidoreductase (decarboxylating, CoA-acetylating)"
15009,dihydrofolate:NAD+ oxidoreductase
14717,"phosphoenolpyruvate:D-erythrose-4-phosphate C-(1-carboxyvinyl)transferase (phosphate hydrolysing, 2-carboxy-2-oxoethyl-forming)"
32527,"N,N'-diacetylchitobiose:phosphate N-acetyl-D-glucosaminyltransferase"
41904,(3R)-3-hydroxypalmitoyl-[acyl-carrier-protein]:NADP+ oxidoreductase
41812,butyryl-[acp]:NAD+ trans-2-oxidoreductase
41828,(3R)-3-hydroxyhexanoyl-[acyl-carrier-protein] hydro-lyase
16369,(R)-lactate:NAD+ oxidoreductase
28362,2'-deoxyguanosine 5'-triphosphate diphosphohydrolase
15193,dGTP triphosphohydrolase
77639,3'-phospho-5'-adenylyl sulfate 3'-phosphohydrolase
40951,"N2-acetyl-L-2,4-diaminobutanoate amidohydrolase"
15985,formate:NAD+ oxidoreductase
16373,ATP:pantothenate 4'-phosphotransferase
41892,(3R)-3-hydroxytetradecanoyl-[acyl-carrier-protein] hydro-lyase
31191,(S)-hydroxydecanoyl-CoA hydro-lyase
28030,2'-deoxyguanosine 5'-diphosphate:oxidized-thioredoxin 2'-oxidoreductase
27878,"2',3'-cyclic UMP 3'-nucleotidohydrolase"
28530,xanthosine 5'-phosphate phosphohydrolase
17661,succinate:CoA ligase (ADP-forming)
23592,glycerol:NADP+ oxidoreductase
28374,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminoheptanedioate:D-alanyl-D-alanine ligase (ADP-forming)"
46160,NADH:menaquinone oxidoreductase
10048,O-acetyl-L-homoserine:methanethiol 3-amino-3-carboxypropyltransferase
25108,ATP:pyridoxine 5'-phosphotransferase
41836,hexanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)
10228,citrate hydro-lyase (cis-aconitate-forming)
27686,ATP:GDP phosphotransferase
11096,sn-glycerol-3-phosphate:NADP+ 2-oxidoreductase
33803,L-histidinal:NAD+ oxidoreductase
24296,(S)-dihydroorotate amidohydrolase
28070,"(2E,6E)-farnesyl-diphosphate:protoheme IX farnesyltranstransferase"
12653,(S)-malate:NAD+ oxidoreductase (decarboxylating)
30803,4-aminobutyraldehyde:NAD+ oxidoreductase
27710,ATP:guanosine 5'-phosphotransferase
41852,octanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)
22852,L-serine:pyruvate aminotransferase
21540,N-(5-phospho-beta-D-ribosyl)anthranilate ketol-isomerase
24813,L-valine:2-oxoglutarate aminotransferase
23688,adenine aminohydrolase
27674,ATP:dADP phosphotransferase
27750,deoxyinosine:orthophosphate ribosyltransferase
17753,"S-(5-deoxy-D-ribos-5-yl)-L-homocysteine homocysteine-lyase [(4S)-4,5-dihydroxypentan-2,3-dione-forming]"
31115,biotin:CoA ligase (AMP-forming)
23444,(S)-lactate:NAD+ oxidoreductase
76499,N-acetyl-glutamate racemase
24560,acetyl-CoA:L-serine O-acetyltransferase
16861,S-adenosyl-L-methionine:8-amino-7-oxononanoate aminotransferase
23104,D-arabinose-5-phosphate aldose-ketose-isomerase
28054,propanoyl-CoA:formate C-propanoyltransferase
34171,"L-aspartate-4-semialdehyde hydro-lyase [adding pyruvate and cyclizing (2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate-forming]"
29363,2'-deoxycytidine 5'-monophosphate phosphohydrolase
15101,"meso-2,6-diaminoheptanedioate carboxy-lyase (L-lysine-forming)"
11352,ATP:acetate phosphotransferase
40523,succinate:quinone oxidoreductase
20445,L-arogenate:2-oxoglutarate aminotransferase
24248,L-alanine:glyoxylate aminotransferase
36163,"5-phospho-alpha-D-ribose 1-diphosphate:nicotinate ligase (ADP, diphosphate-forming)"
18157,ATP:pyruvate 2-O-phosphotransferase
14253,"guanosine-3',5'-bis(diphosphate) 3'-diphosphohydrolase"
24368,L-ornithine ammonia-lyase (cyclizing L-proline-forming)
10948,ATP:D-glucosamine 6-phosphotransferase
18257,coproporphyrinogen:oxygen oxidoreductase (decarboxylating)
16793,N-[(R)-4'-phosphopantothenoyl]-L-cysteine carboxy-lyase
31163,(S)-3-hydroxyhexadecanoyl-CoA hydro-lyase
35331,"2,3,4,5-tetrahydrodipicolinate:NADP+ 4-oxidoreductase"
13217,succinate-semialdehyde:NAD+ oxidoreductase
27786,2-oxoglutarate:NAD+ 2-oxidoreductase (CoA-succinylating)
13121,ATP:shikimate 3-phosphotransferase
43604,(E)-4-hydroxy-3-methylbut-2-en-1-yl-diphosphate:oxidized flavodoxin oxidoreductase
22668,"UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine:2,3-bis-(3-hydroxytetradecanoyl)-alpha-D-glucosaminyl-1-phosphate 2,3-bis(3-hydroxytetradecanoyl)-glucosaminyltransferase"
22068,"2,3-dihydroxy-3-methylbutanoate:NADP+ oxidoreductase (isomerizing)"
14369,2-phosphoglycolate phosphohydrolase
13193,5-carboxyamino-1-(5-phospho-D-ribosyl)imidazole carboxymutase
10244,4-fumarylacetoacetate fumarylhydrolase
22072,ATP:L-ribulose 5-phosphotransferase
14905,5-phosphoribosylamine:diphosphate phospho-alpha-D-ribosyltransferase (glutamate-amidating)
21152,trans-4-hydroxy-L-proline 2-epimerase
22748,4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)
31107,"phenylpyruvate:oxygen oxidoreductase (hydroxylating,decarboxylating)"
14105,trans-4-hydroxy-L-proline:NAD+ 5-oxidoreductase
24931,L-cysteine hydrogen-sulfide-lyase (deaminating pyruvate-forming)
11092,sn-glycerol-3-phosphate:NAD+ 2-oxidoreductase
16609,AMP:diphosphate phospho-D-ribosyltransferase
21624,FMNH2:NADP+ oxidoreductase
18301,xanthosine-5'-phosphate:ammonia ligase (AMP-forming)
31843,"2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase"
24388,uridine:phosphate alpha-D-ribosyltransferase
16429,UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase (ADP-forming)
13925,(R)-3-hydroxytetradecanoly-[acyl-carrier-protein]:UDP-N-acetyl-glucosamine 3-O-(3-hydroxytetradecanoyl)transferase
30755,ATP:carbamate phosphotransferase
27658,"2-deoxy-D-ribose 1-phosphate 1,5-phosphomutase"
22936,N-acetyl-D-glucosamine-6-phosphate amidohydrolase
17817,(3R)-3-hydroxymyristoyl-[acyl-carrier protein]:UDP-3-O-[(3R)-3-hydroxymyristoyl]-alpha-D-glucosamine N-acetyltransferase
41880,dodecanoyl-[acp]:NAD+ trans-2-oxidoreductase
36371,2-hydroxybutyrate:NAD+ oxidoreductase
19889,UTP:alpha-D-glucose-1-phosphate uridylyltransferase
18161,myristoyl-CoA:acetylCoA C-myristoyltransferase
45796,(R)-3-hydroxybutanoyl-CoA:NADP+ oxidoreductase
20273,"L-phenylalanine,tetrahydrobiopterin:oxygen oxidoreductase(4-hydroxylating)"
21036,acetyl-CoA:acetyl-CoA C-acetyltransferase
13697,ATP:D-ribose 5-phosphotransferase
16881,thiosulfate:cyanide sulfurtranserase
31111,butanoyl-CoA:acetyl-CoA C-butanoyltransferase
31103,dihydrofolate:NADP+ oxidoreductase
30871,ATP:2-deoxy-D-ribose 5-phosphotransferase
28190,deoxyadenosine aminohydrolase
14797,ATP:2-dehydro-3-deoxy-D-gluconate 6-phosphotransferase
13717,1-deoxy-D-xylulose-5-phosphate isomeroreductase
19537,D-mannitol-1-phosphate phosphohydrolase
21140,ATP:inosine 5'-phosphotransferase
32275,4-(phosphonooxy)threonine:NAD oxidoreductase
14265,"(S)-4-amino-5-oxopentanoate 4,5-aminomutase"
19833,10-formyltetrahydrofolate amidohydrolase
19993,L-methionine:oxidized-thioredoxin S-oxidoreductase
22912,L-valine:pyruvate aminotransferase
41792,malonyl-CoA:[acyl-carrier-protein] S-malonyltransferase
13665,"GTP diphosphate-lyase (cyclizing 3',5'-cyclic-GMP-forming)"
34095,carboxyspermidine carboxy-lyase (spermidine-forming)
17277,6-phospho-D-gluconate hydro-lyase (2-dehydro-3-deoxy-6-phospho-D-gluconate-forming)
21196,5-methyltetrahydropteroyltri-L-glutamate:L-homocysteine S-methyltransferase
18985,chorismate hydroxymutase
26522,"(2S,3S)-2-hydroxybutane-1,2,3-tricarboxylate hydro-lyase (2-methyl-trans-aconitate forming)"
20221,formate:tetrahydrofolate ligase (ADP-forming)
41832,hexanoyl-[acp]:NAD+ trans-2-oxidoreductase
28042,pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating)
28046,propanoyl-CoA:phosphate propanoyltransferase
12813,glutamate racemase
20549,thiosulfate:ferricytochrome-c oxidoreductase
15501,L-glutamate:NADP+ oxidoreductase (transaminating)
16125,ATP:D-fructose 6-phosphotransferase
13017,UMP:diphosphate phospho-alpha-D-ribosyltransferase
19453,L-alanine:2-oxoglutarate aminotransferase
18473,1-(5-phospho-D-ribosyl)-ATP:diphosphate phospho-alpha-D-ribosyl-transferase
19381,oxalosuccinate carboxy-lyase (2-oxoglutarate-forming)
15805,"7,8-diaminononanoate:carbon-dioxide cyclo-ligase"
12697,ATP:dGMP phosphotransferase
28358,"tetradecanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"
